Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,source_page,source_url,datatable_index
2023,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),513.99,377.65,483.67,225.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2023,Merchandise Imports_Non-Oil (Millions of US Dollars),702.65,635.14,743.27,762.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2023,Merchandise Imports_Oil & Gas (Millions of US Dollars),303.89,308.19,297.82,294.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2023,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,006.53",943.33,"1,041.09","1,057.57",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2023,Merchandise Exports_Other Exports (Millions of US Dollars),215.02,256.76,279.24,259.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2023,Merchandise Exports_Crude Oil (Millions of US Dollars),322.78,228.55,301.19,318.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2023,Merchandise Exports_Cocoa Products (Millions of US Dollars),81.49,77.11,90.75,51.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2023,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),11.55,10.45,10.07,11.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2023,Merchandise Exports_Cocoa Beans (Millions of US Dollars),331.39,224.13,218.86,176.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2023,Merchandise Exports_Gold (Millions of US Dollars),558.28,523.98,624.65,465.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2023,Merchandise Exports (f.o.b) (Millions of US Dollars),"1,520.53","1,320.98","1,524.76","1,282.65",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2022,Merchandise Exports_Other Exports (Millions of US Dollars),236.80,223.55,314.69,263.18,233.23,239.74,269.26,242.48,254.29,209.56,252.68,245.49,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2022,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,135.17","1,147.81","1,261.94","1,159.53","1,328.37","1,369.91","1,530.28","1,331.24","1,218.56","1,026.36","1,036.75","1,107.05",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
