date,year,month,month_name,variable,value,source_page,source_url,datatable_index,quarter,quarter_name
2001-01-01,2001,1,Jan,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),0.0,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2001-02-01,2001,2,Feb,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),30.37,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2001-03-01,2001,3,Mar,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),36.4,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2001-04-01,2001,4,Apr,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),26.77,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2001-05-01,2001,5,May,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),26.7,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2001-06-01,2001,6,Jun,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),19.65,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2001-07-01,2001,7,Jul,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),16.88,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2001-08-01,2001,8,Aug,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),17.98,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2001-09-01,2001,9,Sep,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),14.02,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2001-10-01,2001,10,Oct,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),18.54,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2001-11-01,2001,11,Nov,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),15.21,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2001-12-01,2001,12,Dec,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),14.5,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2001-12-31,2001,,,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),0.0,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
2002-01-01,2002,1,Jan,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),11.6,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
