date,year,month,month_name,variable,value,source_page,source_url,datatable_index,quarter,quarter_name
1973-01-01,1973,1,Jan,Inflation Headline (%) Year-on-Year,6.0,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1973-02-01,1973,2,Feb,Inflation Headline (%) Year-on-Year,10.9,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1973-03-01,1973,3,Mar,Inflation Headline (%) Year-on-Year,11.17,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1973-04-01,1973,4,Apr,Inflation Headline (%) Year-on-Year,10.72,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1973-05-01,1973,5,May,Inflation Headline (%) Year-on-Year,12.46,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1973-06-01,1973,6,Jun,Inflation Headline (%) Year-on-Year,5.95,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1973-07-01,1973,7,Jul,Inflation Headline (%) Year-on-Year,27.3,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1973-08-01,1973,8,Aug,Inflation Headline (%) Year-on-Year,27.13,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1973-09-01,1973,9,Sep,Inflation Headline (%) Year-on-Year,25.71,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1973-10-01,1973,10,Oct,Inflation Headline (%) Year-on-Year,23.78,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1973-11-01,1973,11,Nov,Inflation Headline (%) Year-on-Year,24.42,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1973-12-01,1973,12,Dec,Inflation Headline (%) Year-on-Year,25.35,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1973-12-31,1973,,,Inflation Headline (%) Year-on-Year,6.0,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1974-01-01,1974,1,Jan,Inflation Headline (%) Year-on-Year,23.6,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1974-02-01,1974,2,Feb,Inflation Headline (%) Year-on-Year,22.9,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1974-03-01,1974,3,Mar,Inflation Headline (%) Year-on-Year,21.2,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1974-04-01,1974,4,Apr,Inflation Headline (%) Year-on-Year,19.9,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1974-05-01,1974,5,May,Inflation Headline (%) Year-on-Year,20.5,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1974-06-01,1974,6,Jun,Inflation Headline (%) Year-on-Year,19.6,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1974-07-01,1974,7,Jul,Inflation Headline (%) Year-on-Year,14.3,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1974-08-01,1974,8,Aug,Inflation Headline (%) Year-on-Year,16.5,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1974-09-01,1974,9,Sep,Inflation Headline (%) Year-on-Year,15.1,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1974-10-01,1974,10,Oct,Inflation Headline (%) Year-on-Year,16.3,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1974-11-01,1974,11,Nov,Inflation Headline (%) Year-on-Year,16.7,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1974-12-01,1974,12,Dec,Inflation Headline (%) Year-on-Year,16.1,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
