Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,source_page,source_url,datatable_index,First Quarter,Second Quarter,Third Quarter,Fourth Quarter,col_3
2023,Bank of Ghana Composite Index of Economic Activity (Real),696.60,687.73,737.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2023,Bank of Ghana Composite Index of Economic Activity (Real Growth) (%),-7.57,-7.22,-6.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2023,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),16.15,15.02,12.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2023,Bank of Ghana Composite Index of Economic Activity (Nominal),"3,058.46","3,032.01","3,194.28",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2023,Inflation_Core (Adjusted for Energy & Utility) (%) Year-on-Year,52.80,52.00,44.60,41.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2023,Inflation Headline (%) Year-on-Year,53.60,52.80,45.00,41.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2023,Inflation_Food (%) Year-on-Year,61.00,59.10,50.80,48.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2023,Inflation_Non-Food (%) Year-on-Year,47.90,47.90,40.60,35.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2022,Bank of Ghana Composite Index of Economic Activity (Real Growth) (%),4.15,4.39,4.63,2.55,1.72,1.64,0.46,-1.12,-1.21,-0.96,-6.16,0.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2022,Bank of Ghana Composite Index of Economic Activity (Nominal),"2,633.30","2,636.15","2,832.38","2,836.46","2,851.62","2,911.72","2,977.69","2,922.91","2,975.85","3,077.77","3,167.23",0.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2022,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),11.13,12.57,15.76,15.37,16.32,17.79,17.21,16.97,18.40,22.22,20.10,0.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
