a,b,family,same_observed_parameters,max_abs_parameter_difference,Sn_old_gof_estimator,Sn_new_copulas_estimator,abs_Sn_difference,old_rho,new_rho,absdiff_rho,old_nu,new_nu,absdiff_nu,old_theta,new_theta,absdiff_theta
cocoa,gold,gaussian,True,0,0.0517608024731,0.0517608024731,0,0.072355221081,0.072355221081,0,,,,,,
cocoa,gold,t,True,0,0.0386556797103,0.0386556797103,0,0.0753428988268,0.0753428988268,0,13.0582600067,13.0582600067,0,,,
cocoa,gold,clayton,True,0,0.0608737341103,0.0608737341103,0,,,,,,,0.0903180003929,0.0903180003929,0
cocoa,gold,gumbel,True,0,0.0574028224756,0.0574028224756,0,,,,,,,1.03988076401,1.03988076401,0
cocoa,gold,frank,True,0,0.0477434575028,0.0477434575028,0,,,,,,,0.459849327376,0.459849327376,0
cocoa,gold,joe,True,0,0.0935673889075,0.0935673889075,0,,,,,,,1.03912122434,1.03912122434,0
cocoa,gold,survival_clayton,True,0,0.0759392986825,0.0759392986825,0,,,,,,,0.0601154191488,0.0601154191488,0
cocoa,gold,survival_gumbel,True,0,0.0501830219311,0.0501830219311,0,,,,,,,1.04922469707,1.04922469707,0
cocoa,brent,gaussian,True,0,0.0412704220353,0.0412704220353,0,0.0916694941428,0.0916694941428,0,,,,,,
cocoa,brent,t,True,0,0.0412325058598,0.0412325058598,0,0.0914585585718,0.0914585585718,0,54.7728536025,54.7728536025,0,,,
cocoa,brent,clayton,True,0,0.0501225347341,0.0501225347341,0,,,,,,,0.102805685471,0.102805685471,0
cocoa,brent,gumbel,True,0,0.0630629949374,0.0630629949374,0,,,,,,,1.04032084159,1.04032084159,0
cocoa,brent,frank,True,0,0.0416695809839,0.0416695809839,0,,,,,,,0.523309278204,0.523309278204,0
cocoa,brent,joe,True,0,0.118572096387,0.118572096387,0,,,,,,,1.03551190601,1.03551190601,0
cocoa,brent,survival_clayton,True,0,0.0735810638853,0.0735810638853,0,,,,,,,0.0727827522905,0.0727827522905,0
