commodity,family,Sn_current,Sn_recovered,abs_Sn_change,max_abs_parameter_change,current_params,recovered_params
cocoa,gaussian,0.0264708511482,0.0263502328187,0.000120618329521,7.50299145889e-05,"{""rho"": 0.006466477082621003}","{""rho"": 0.0065415069972099005}"
cocoa,t,0.0264708511482,0.0263827647954,8.80863528122e-05,6025308.35372,"{""nu"": 11617958.115372904, ""rho"": 0.006458850932244078}","{""nu"": 5592649.76164832, ""rho"": 0.006565251617371068}"
cocoa,clayton,0.0257179269166,0.0254560292858,0.000261897630839,0.000272883692652,"{""theta"": 0.006188116391746269}","{""theta"": 0.006461000084398114}"
cocoa,gumbel,0.0278762607484,0.0278762607484,0,5.25846033383e-12,"{""theta"": 1.0003354646282412}","{""theta"": 1.0003354646334996}"
cocoa,frank,0.0258917647546,0.0258917647546,0,3.50472359482e-06,"{""theta"": 0.05854649846159947}","{""theta"": 0.05855000318519429}"
cocoa,joe,0.0278354857112,0.0278354857112,0,1.99840144433e-15,"{""theta"": 1.0003354645477016}","{""theta"": 1.0003354645477036}"
cocoa,survival_clayton,0.0276292639258,0.0276292639258,0,1.67787225086e-13,"{""theta"": 0.002478764251891001}","{""theta"": 0.0024787642520587884}"
cocoa,survival_gumbel,0.0277116961145,0.0277116961145,0,1.73006053927e-11,"{""theta"": 1.0003354643385811}","{""theta"": 1.0003354643212805}"
gold,gaussian,0.0151249350465,0.0150949495405,2.99855060071e-05,3.01351119783e-05,"{""rho"": 0.005424167197626712}","{""rho"": 0.00545430230960498}"
gold,t,0.0146350915361,0.0146350915361,0,0.0543630719672,"{""nu"": 68.35516625700734, ""rho"": 0.005418257818547073}","{""nu"": 68.40952932897457, ""rho"": 0.005438382825963511}"
gold,clayton,0.0152184511104,0.0152475288813,2.9077770934e-05,9.34568082705e-05,"{""theta"": 0.004037364988901954}","{""theta"": 0.004130821797172448}"
gold,gumbel,0.0145132938162,0.0145132938162,0,3.89814915258e-06,"{""theta"": 1.0022346502387731}","{""theta"": 1.0022385483879257}"
gold,frank,0.0150694413267,0.0150694413267,0,5.80562539522e-07,"{""theta"": 0.02469694181133908}","{""theta"": 0.0246975223738786}"
gold,joe,0.0144706692322,0.0144706692322,0,7.81878406464e-09,"{""theta"": 1.0021153898744086}","{""theta"": 1.0021153976931927}"
gold,survival_clayton,0.0149389666888,0.0149389666888,0,1.26731170315e-08,"{""theta"": 0.009713214850659568}","{""theta"": 0.0097132275237766}"
gold,survival_gumbel,0.0155111796358,0.0154986342571,1.25453787592e-05,1.75614087592e-05,"{""theta"": 1.0039338059369203}","{""theta"": 1.003916244528161}"
brent,gaussian,0.0189543172392,0.0189174674735,3.68497656751e-05,8.14895413798e-05,"{""rho"": -0.012292565564175231}","{""rho"": -0.012211076022795463}"
brent,t,0.0193650043726,0.0193661847266,1.18035406765e-06,0.0208436329658,"{""nu"": 25.81083926165452, ""rho"": -0.010871581551250332}","{""nu"": 25.789995628688768, ""rho"": -0.010841372161891969}"
brent,clayton,0.0191780311368,0.0193441029256,0.000166071788817,0.000253892562051,"{""theta"": 0.006183531368775801}","{""theta"": 0.006437423930827047}"
brent,gumbel,0.0186792074521,0.0186792074521,0,7.64425288491e-06,"{""theta"": 1.0008296759607636}","{""theta"": 1.0008373202136485}"
brent,frank,0.0178931005777,0.0178931005777,0,3.71314191593e-06,"{""theta"": -0.04322451998549168}","{""theta"": -0.043220806843575744}"
brent,joe,0.0189427434051,0.0189427434051,0,3.10651988578e-08,"{""theta"": 1.0018406868558278}","{""theta"": 1.0018407179210267}"
brent,survival_clayton,0.0192004635488,0.0192004635488,0,2.55095423951e-14,"{""theta"": 0.002478764235059202}","{""theta"": 0.0024787642350847117}"
brent,survival_gumbel,0.0182845627927,0.0182845627927,0,3.21911386436e-11,"{""theta"": 1.0003354647372258}","{""theta"": 1.0003354647050346}"
wti,gaussian,0.0195767681098,0.0195767681098,0,2.70480335405e-05,"{""rho"": -0.012407393063635684}","{""rho"": -0.012380345030095153}"
wti,t,0.0196039777818,0.0196210393314,1.70615495274e-05,0.503396220047,"{""nu"": 73.42730229337302, ""rho"": -0.012107901934959617}","{""nu"": 73.93069851342023, ""rho"": -0.012088691228005852}"
wti,clayton,0.0212022262733,0.0212022262733,0,1.04565721967e-10,"{""theta"": 0.0024787612783859153}","{""theta"": 0.0024787613829516373}"
wti,gumbel,0.0208566732839,0.0208566732839,0,2.26552110405e-12,"{""theta"": 1.0003354640042}","{""theta"": 1.0003354640064654}"
wti,frank,0.0192228127125,0.0192228127125,0,1.53550082159e-06,"{""theta"": -0.05801942864808269}","{""theta"": -0.0580178931472611}"
wti,joe,0.0207351872974,0.0207351872974,0,1.55431223448e-14,"{""theta"": 1.000335464869541}","{""theta"": 1.0003354648695566}"
wti,survival_clayton,0.0216557740009,0.0216557740009,0,1.1646066056e-14,"{""theta"": 0.0024787634353913195}","{""theta"": 0.0024787634354029656}"
wti,survival_gumbel,0.0208569371213,0.0208569371213,0,1.19726450976e-12,"{""theta"": 1.0003354646617557}","{""theta"": 1.0003354646605584}"
