pair,a,b,family,Sn,p_value,exceed,n_boot,params,loglik,AIC,lambda_lower_model,lambda_upper_model,seed
Brent–Cedi,brent,cedi,clayton,0.0146575320858,0.787606196902,1575,2000,"{""theta"": 0.004230900882316314}",0.0247372710332,1.95052545793,7.0740740333e-72,0,3851609647
Brent–Cedi,brent,cedi,frank,0.012466345934,0.79860069965,1597,2000,"{""theta"": -0.06490576468301497}",0.159838866669,1.68032226666,0,0,2571927669
Brent–Cedi,brent,cedi,gaussian,0.013071368652,0.807096451774,1614,2000,"{""rho"": -0.015595581033094531}",0.333871221928,1.33225755614,0,0,4193528823
Brent–Cedi,brent,cedi,gumbel,0.0139395764594,0.83908045977,1678,2000,"{""theta"": 1.0003354646220162}",0.000183816785004,1.99963236643,0,0.000464842729379,3454955906
Brent–Cedi,brent,cedi,joe,0.0143341773555,0.818590704648,1637,2000,"{""theta"": 1.0013271765922196}",0.00749105868417,1.98501788263,0,0.00183657507813,1100952936
Brent–Cedi,brent,cedi,survival_clayton,0.0148454121261,0.787106446777,1574,2000,"{""theta"": 0.002478763704113946}",-0.129666252976,2.25933250595,0,3.6007819106e-122,2358568650
Brent–Cedi,brent,cedi,survival_gumbel,0.0137794382947,0.859570214893,1719,2000,"{""theta"": 1.0003354643430205}",-0.00498242445857,2.00996484892,0.000464842342958,0,3380832073
Brent–Cedi,brent,cedi,t,0.011026545388,0.930034982509,1860,2000,"{""nu"": 21.89773963181111, ""rho"": -0.014076408658336672}",2.84884064557,-1.69768129113,6.79498417379e-05,6.79498417379e-05,4275612342
Brent–WTI,brent,wti,clayton,2.34732972524,0.000499750124938,0,2000,"{""theta"": 4.693463775063723}",2410.75044055,-4819.50088109,0.862704113338,0,116659117
Brent–WTI,brent,wti,frank,1.2061529542,0.000499750124938,0,2000,"{""theta"": 17.463379245210145}",2807.67271584,-5613.34543169,0,0,4006724370
Brent–WTI,brent,wti,gaussian,4.00015161203,0.000499750124938,0,2000,"{""rho"": 0.9269266599255631}",2711.63184663,-5421.26369327,0,0,3542559514
Brent–WTI,brent,wti,gumbel,2.84073237768,0.000499750124938,0,2000,"{""theta"": 4.410357236386222}",2873.95886666,-5745.91773332,0,0.829813075901,726000657
Brent–WTI,brent,wti,joe,4.72106467344,0.000499750124938,0,2000,"{""theta"": 5.395765564725832}",2390.70893457,-4779.41786914,0,0.862922558827,3368371759
Brent–WTI,brent,wti,survival_clayton,4.96327473589,0.000499750124938,0,2000,"{""theta"": 4.596646355082663}",2379.3578849,-4756.7157698,0,0.860024753835,1765470825
Brent–WTI,brent,wti,survival_gumbel,0.995794072247,0.000499750124938,0,2000,"{""theta"": 4.449987187961771}",2893.4425697,-5784.8851394,0.831449771151,0,3520523756
Brent–WTI,brent,wti,t,0.304075740195,0.00199900049975,3,2000,"{""nu"": 2.0500000000000296, ""rho"": 0.9453573486828928}",3171.5513497,-6339.10269939,0.788540778263,0.788540778263,599282492
Cocoa–Brent,cocoa,brent,clayton,0.028001126575,0.23688155922,473,2000,"{""theta"": 0.10562718169590386}",12.7660512588,-23.5321025176,0.00141276764751,0,367454444
Cocoa–Brent,cocoa,brent,frank,0.02559518682,0.148925537231,297,2000,"{""theta"": 0.49178914560387543}",9.31928608173,-16.6385721635,0,0,1116316034
Cocoa–Brent,cocoa,brent,gaussian,0.0261408374542,0.189405297351,378,2000,"{""rho"": 0.09100839071831986}",11.4175341288,-20.8350682576,0,0,3555291125
Cocoa–Brent,cocoa,brent,gumbel,0.0513149882296,0.00899550224888,17,2000,"{""theta"": 1.035907664648916}",5.3678539937,-8.7357079874,0,0.04748043793,2864107250
Cocoa–Brent,cocoa,brent,joe,0.10665763445,0.000999500249875,1,2000,"{""theta"": 1.0294991850247341}",2.30688686578,-2.61377373156,0,0.0393308888512,1380646084
Cocoa–Brent,cocoa,brent,survival_clayton,0.0611956718518,0.00449775112444,8,2000,"{""theta"": 0.06717288195391821}",5.34587924464,-8.69175848927,0,3.30049079554e-05,1619567646
Cocoa–Brent,cocoa,brent,survival_gumbel,0.0250707555358,0.298350824588,596,2000,"{""theta"": 1.0579025976505627}",16.0792461447,-30.1584922894,0.0744553088375,0,238266333
Cocoa–Brent,cocoa,brent,t,0.0262698678793,0.167916041979,335,2000,"{""nu"": 77.23219592796379, ""rho"": 0.09036450386089336}",11.6475250849,-19.2950501698,6.50447640062e-12,6.50447640062e-12,11832888
Cocoa–Cedi,cocoa,cedi,clayton,0.0130884295848,0.887556221889,1775,2000,"{""theta"": 0.00247876886390228}",-0.0573519066273,2.11470381325,3.6028784808e-122,0,164265576
Cocoa–Cedi,cocoa,cedi,frank,0.0136707594786,0.72363818091,1447,2000,"{""theta"": -0.03850926330814133}",0.0572849121524,1.8854301757,0,0,3375720259
Cocoa–Cedi,cocoa,cedi,gaussian,0.0151337157205,0.680659670165,1361,2000,"{""rho"": -0.012660734119028816}",0.220031519092,1.55993696182,0,0,982119137
Cocoa–Cedi,cocoa,cedi,gumbel,0.0130754852917,0.878060969515,1756,2000,"{""theta"": 1.000335464316705}",-0.04780974463,2.09561948926,0,0.00046484230651,2394134629
Cocoa–Cedi,cocoa,cedi,joe,0.0130613485687,0.898050974513,1796,2000,"{""theta"": 1.0003354643932487}",-0.0408860456829,2.08177209137,0,0.000464842412526,2017701230
Cocoa–Cedi,cocoa,cedi,survival_clayton,0.0134445575239,0.859570214893,1719,2000,"{""theta"": 0.0024787627177365553}",-0.151777657469,2.30355531494,0,3.60038125507e-122,369251104
Cocoa–Cedi,cocoa,cedi,survival_gumbel,0.0131641434123,0.885557221389,1771,2000,"{""theta"": 1.0003354646511062}",-0.0276670250276,2.05533405006,0.00046484276967,0,3274605052
Cocoa–Cedi,cocoa,cedi,t,0.0150919098059,0.659170414793,1318,2000,"{""nu"": 7153281.562533887, ""rho"": -0.012554750363453219}",0.22006464566,3.55987070868,0,0,2739261453
Cocoa–Gold,cocoa,gold,clayton,0.0349705876191,0.0924537731134,184,2000,"{""theta"": 0.08245609715959934}",8.06455879753,-14.1291175951,0.000223464622706,0,1143044268
Cocoa–Gold,cocoa,gold,frank,0.0230797449477,0.207896051974,415,2000,"{""theta"": 0.430138983234266}",6.94361396023,-11.8872279205,0,0,1918083399
Cocoa–Gold,cocoa,gold,gaussian,0.0230850471952,0.300849575212,601,2000,"{""rho"": 0.07077993375894924}",6.89451582409,-11.7890316482,0,0,3612588086
Cocoa–Gold,cocoa,gold,gumbel,0.03084570303,0.11744127936,234,2000,"{""theta"": 1.0389736896492}",5.84315187564,-9.68630375127,0,0.0513320473958,2193189486
Cocoa–Gold,cocoa,gold,joe,0.0605472570006,0.0124937531234,24,2000,"{""theta"": 1.0406634346487675}",3.38400412721,-4.76800825442,0,0.0534418140488,3583317137
Cocoa–Gold,cocoa,gold,survival_clayton,0.0450240939891,0.0249875062469,49,2000,"{""theta"": 0.06137600060309682}",4.2670180931,-6.5340361862,0,1.24541544737e-05,1497502796
Cocoa–Gold,cocoa,gold,survival_gumbel,0.0287786445265,0.189905047476,379,2000,"{""theta"": 1.0438643307373539}",8.63101839194,-15.2620367839,0.0574134245093,0,3289224719
Cocoa–Gold,cocoa,gold,t,0.0209423048875,0.378310844578,756,2000,"{""nu"": 16.705862072008042, ""rho"": 0.07255229508297974}",11.2451568009,-18.4903136017,0.00104750117588,0.00104750117588,4053341206
Cocoa–WTI,cocoa,wti,clayton,0.0211736253375,0.501249375312,1002,2000,"{""theta"": 0.10484412363483708}",12.5672418466,-23.1344836932,0.00134519497501,0,2822717754
Cocoa–WTI,cocoa,wti,frank,0.0272914226405,0.0954522738631,190,2000,"{""theta"": 0.48746581010024603}",9.11794575446,-16.2358915089,0,0,3371772959
Cocoa–WTI,cocoa,wti,gaussian,0.0278531687174,0.141929035482,283,2000,"{""rho"": 0.08863069070595912}",10.8263369329,-19.6526738659,0,0,744202382
Cocoa–WTI,cocoa,wti,gumbel,0.0588230813006,0.00449775112444,8,2000,"{""theta"": 1.0362115574984214}",5.67735481938,-9.35470963875,0,0.0478635530098,2905477197
Cocoa–WTI,cocoa,wti,joe,0.109839744341,0.000499750124938,0,2000,"{""theta"": 1.0306609975404823}",2.65488179949,-3.30976359899,0,0.0408183963844,2398194445
Cocoa–WTI,cocoa,wti,survival_clayton,0.0705152989669,0.00299850074963,5,2000,"{""theta"": 0.06582477675997898}",5.20656083664,-8.41312167328,0,2.67176389647e-05,3689853884
Cocoa–WTI,cocoa,wti,survival_gumbel,0.0216765377098,0.459770114943,919,2000,"{""theta"": 1.0560560589877708}",14.6293379063,-27.2586758126,0.0722480482372,0,3919823132
Cocoa–WTI,cocoa,wti,t,0.028631132858,0.107946026987,215,2000,"{""nu"": 45.384731075473994, ""rho"": 0.08776157674055014}",11.4883478482,-18.9766956965,1.2372080033e-07,1.2372080033e-07,2725148781
