pair,a,b,n_families,n_reject_5pct,n_nonreject_5pct,min_final_p,max_final_p
Brent–Cedi,brent,cedi,8,0,8,0.787106446777,0.930034982509
Brent–WTI,brent,wti,8,8,0,0.000499750124938,0.00199900049975
Cocoa–Brent,cocoa,brent,8,3,5,0.000999500249875,0.298350824588
Cocoa–Cedi,cocoa,cedi,8,0,8,0.659170414793,0.898050974513
Cocoa–Gold,cocoa,gold,8,2,6,0.0124937531234,0.378310844578
Cocoa–WTI,cocoa,wti,8,3,5,0.000499750124938,0.501249375312
Gold–Brent,gold,brent,8,8,0,0.000999500249875,0.0134932533733
Gold–Cedi,gold,cedi,8,0,8,0.0665866826635,0.369315342329
Gold–WTI,gold,wti,8,8,0,0.000499750124938,0.00849575212394
WTI–Cedi,wti,cedi,8,0,8,0.633683158421,0.748125937031
