series,spec,convergence_flag,optimizer_message,finite_fit,valid_fit,warnings,aic,bic,loglikelihood,dist_param_names,dist_param_values,lb_resid_p,lb_sq_p,ks_pit_p,adequate_5pct
cocoa,AR1-GJR-GARCH-t,0,Optimization terminated successfully,True,True,,11852.8216156,11894.3154109,-5919.41080778,nu,7.27595764668,0.659504996993,0.981156229308,0.877526752132,True
cocoa,AR2-GJR-GARCH-t,0,Optimization terminated successfully,True,True,,11847.7104584,11895.1290533,-5915.85522919,nu,7.2249462977,0.879793361304,0.980499496041,0.974652724219,True
cocoa,AR1-EGARCH-t,0,Optimization terminated successfully,True,True,,11856.3754807,11897.869276,-5921.18774036,nu,7.20937981703,0.666940835918,0.903781380825,0.959129473009,True
cocoa,AR1-GJR-GARCH-skewt,0,Optimization terminated successfully,True,True,,11852.3432755,11899.7647559,-5918.17163777,"eta,lambda","7.35855387988,-0.0424974382086",0.65633882765,0.979824243654,0.948065589816,True
gold,AR1-GJR-GARCH-t,0,Optimization terminated successfully,True,True,,7465.1622283,7506.65602362,-3725.58111415,nu,4.49192724143,0.612280175539,0.42340148349,0.529179149105,True
gold,AR2-GJR-GARCH-t,0,Optimization terminated successfully,True,True,,7463.30161095,7510.72020583,-3723.65080548,nu,4.47935467771,0.595166444357,0.430448224951,0.562507604641,True
gold,AR1-EGARCH-t,0,Optimization terminated successfully,True,True,,7461.20036133,7502.69415665,-3723.60018066,nu,4.48481905629,0.565440253316,0.143391631325,0.802806366663,True
gold,AR1-GJR-GARCH-skewt,0,Optimization terminated successfully,True,True,,7464.54056602,7511.96204639,-3724.27028301,"eta,lambda","4.52698812065,-0.0412240799371",0.626110545426,0.440380640596,0.331950400104,True
brent,AR1-GJR-GARCH-t,0,Optimization terminated successfully,True,True,,12094.243777,12135.7375723,-6040.1218885,nu,5.12167165823,0.966071326872,0.99999735754,0.531168585457,True
brent,AR2-GJR-GARCH-t,0,Optimization terminated successfully,True,True,,12089.8780561,12137.296651,-6036.93902807,nu,5.09707333329,0.944559092199,0.999997220905,0.552016316188,True
brent,AR1-EGARCH-t,0,Optimization terminated successfully,True,True,,12095.4859889,12136.9797843,-6040.74299447,nu,4.99254991366,0.972031641152,0.999794209181,0.440794644206,True
brent,AR1-GJR-GARCH-skewt,0,Optimization terminated successfully,True,True,,12073.1223055,12120.5437858,-6028.56115273,"eta,lambda","5.31135984708,-0.12585644457",0.963272065591,0.999997634841,0.619851656946,True
wti,AR1-GJR-GARCH-t,0,Optimization terminated successfully,True,True,,12548.0383313,12589.5321267,-6267.01916567,nu,6.27047955076,0.891426091796,0.990625014263,0.406123732824,True
wti,AR2-GJR-GARCH-t,0,Optimization terminated successfully,True,True,,12542.5363995,12589.9549944,-6263.26819974,nu,6.23254692063,0.895453892876,0.989559059645,0.373058677801,True
wti,AR1-EGARCH-t,0,Optimization terminated successfully,True,True,,12553.8496566,12595.343452,-6269.92482832,nu,5.87552852705,0.864857451461,0.898734211941,0.446097332826,True
wti,AR1-GJR-GARCH-skewt,0,Optimization terminated successfully,True,True,,12526.538583,12573.9600634,-6255.26929151,"eta,lambda","6.41395980429,-0.130534678021",0.888154478736,0.992183966754,0.977751069801,True
cedi,AR1-GJR-GARCH-t,8,Positive directional derivative for linesearch,True,False,"The optimizer returned code 8. The message is:
Positive directional derivative for linesearch
See scipy.optimize.fmin_slsqp for code meaning.
",-4110.87359016,-4069.37979484,2062.43679508,nu,2.64421327505,,,,False
cedi,AR2-GJR-GARCH-t,0,Optimization terminated successfully,True,True,,941.30509366,988.723688543,-462.65254683,nu,3.99616370029,7.08209861019e-18,0.0424067294476,8.07355694698e-150,False
cedi,AR1-EGARCH-t,0,Optimization terminated successfully,True,True,,-3951.20392815,-3909.71013283,1982.60196407,nu,2.05,0.918148321867,0.999999955745,3.36686058699e-33,False
cedi,AR1-GJR-GARCH-skewt,0,Optimization terminated successfully,True,True,,402.11122105,449.532701415,-193.055610525,"eta,lambda","13.3432143131,-0.0734587206595",9.37835155352e-43,0.221732374324,3.46286180646e-252,False
