stress_definition,pair,a,b,tail,q,n_calm,n_stress,B,block,seed,lambda_calm,lambda_stress,difference,diff_lo_95,diff_hi_95,p_value
2024,Brent–Cedi,brent,cedi,lower,0.025,2451,242,15000,20,1701301529,0.016319869441,0.165289256198,0.148969386757,-0.0489596083231,0.479547899154,0.699420038664
2024,Brent–Cedi,brent,cedi,upper,0.025,2451,242,15000,20,4274193560,0.016319869441,0.165289256198,0.148969386757,-0.0652794777642,0.495867768595,0.572628491434
2024,Brent–Cedi,brent,cedi,lower,0.05,2451,242,15000,20,3647960967,0.0571195430437,0.165289256198,0.108169713155,-0.0734394124847,0.306098708235,0.251116592227
2024,Brent–Cedi,brent,cedi,upper,0.05,2451,242,15000,20,2979103737,0.0571195430437,0.0826446280992,0.0255250850555,-0.0897592819257,0.223454080136,0.697620158656
2024,Brent–Cedi,brent,cedi,lower,0.1,2451,242,15000,20,469633458,0.110159118727,0.123966942149,0.0138078234217,-0.0973965761993,0.158174602372,0.826744883674
2024,Brent–Cedi,brent,cedi,upper,0.1,2451,242,15000,20,2414494342,0.110159118727,0.0826446280992,-0.0275144906279,-0.130558955528,0.13777476557,0.694487034198
2024,Brent–WTI,brent,wti,lower,0.025,2451,242,15000,20,2182027417,0.750713994288,0.661157024793,-0.0895569694947,-0.436455351332,0.306301020666,0.678421438571
2024,Brent–WTI,brent,wti,upper,0.025,2451,242,15000,20,1250774703,0.767033863729,0.826446280992,0.0594124172626,-0.420135481891,0.338940759548,0.737350843277
2024,Brent–WTI,brent,wti,lower,0.05,2451,242,15000,20,595953953,0.742554059568,0.826446280992,0.0838922214242,-0.172201597594,0.249181477623,0.453636424238
2024,Brent–WTI,brent,wti,upper,0.05,2451,242,15000,20,663965663,0.750713994288,0.826446280992,0.0757322867037,-0.130356643097,0.281821216505,0.480234651023
2024,Brent–WTI,brent,wti,lower,0.1,2451,242,15000,20,3341064762,0.762953896369,0.826446280992,0.0634923846229,-0.0972073297794,0.182856718964,0.377041530565
2024,Brent–WTI,brent,wti,upper,0.1,2451,242,15000,20,2052795469,0.758873929009,0.867768595041,0.108894666033,-0.0936500028661,0.203256555766,0.212452503166
2024,Cocoa–Brent,cocoa,brent,lower,0.025,2451,242,15000,20,490054880,0.114239086087,0.165289256198,0.051050170111,-0.16319869441,0.446908160272,0.677554829678
2024,Cocoa–Brent,cocoa,brent,upper,0.025,2451,242,15000,20,3864936467,0.0489596083231,0,-0.0489596083231,-0.114239086087,0.265299034633,0.230651289914
2024,Cocoa–Brent,cocoa,brent,lower,0.05,2451,242,15000,20,3618239780,0.15503875969,0.0826446280992,-0.0723941315907,-0.195838433293,0.141854732931,0.425771615226
2024,Cocoa–Brent,cocoa,brent,upper,0.05,2451,242,15000,20,1450156886,0.0489596083231,0.0826446280992,0.033685019776,-0.0897592819257,0.215294145415,0.666555562962
2024,Cocoa–Brent,cocoa,brent,lower,0.1,2451,242,15000,20,1128174302,0.175438596491,0.0826446280992,-0.0927939683921,-0.195838433293,-0.00251204601933,0.0719285380975
2024,Cocoa–Brent,cocoa,brent,upper,0.1,2451,242,15000,20,3763818058,0.134638922889,0.0413223140496,-0.093316608839,-0.16319869441,0.017887790782,0.0483967735484
2024,Cocoa–Cedi,cocoa,cedi,lower,0.025,2451,242,15000,20,1759056310,0,0.165289256198,0.165289256198,0,0.495867768595,0.703619758683
2024,Cocoa–Cedi,cocoa,cedi,upper,0.025,2451,242,15000,20,1467315477,0,0,0,-0.0326397388821,0,1
2024,Cocoa–Cedi,cocoa,cedi,lower,0.05,2451,242,15000,20,2335135681,0.0326397388821,0.0826446280992,0.0500048892171,-0.0571195430437,0.239773949577,0.608226118259
