stress_definition,pair,a,b,tail,q,n_calm,n_stress,B,block,seed,lambda_calm,lambda_stress,difference,diff_lo_95,diff_hi_95,p_value
covid,Brent–Cedi,brent,cedi,lower,0.025,2451,80,15000,20,23940283,0.016319869441,0,-0.016319869441,-0.0489596083231,0,0.632557829478
covid,Brent–Cedi,brent,cedi,upper,0.025,2451,80,15000,20,3840275100,0.016319869441,0,-0.016319869441,-0.0815993472052,0,0.693087127525
covid,Brent–Cedi,brent,cedi,lower,0.05,2451,80,15000,20,1102696581,0.0571195430437,0,-0.0571195430437,-0.0979192166463,-0.016319869441,0.010799280048
covid,Brent–Cedi,brent,cedi,upper,0.05,2451,80,15000,20,3575804798,0.0571195430437,0,-0.0571195430437,-0.106079151367,-0.0244798041616,0.016332244517
covid,Brent–Cedi,brent,cedi,lower,0.1,2451,80,15000,20,3063377652,0.110159118727,0,-0.110159118727,-0.142798857609,0.277080783354,0.0794613692421
covid,Brent–Cedi,brent,cedi,upper,0.1,2451,80,15000,20,2923607676,0.110159118727,0,-0.110159118727,-0.15095879233,-0.0734394124847,0.00446636890874
covid,Brent–WTI,brent,wti,lower,0.025,2451,80,15000,20,928188066,0.750713994288,0.5,-0.250713994288,-0.799673602611,0.765605875153,0.64055729618
covid,Brent–WTI,brent,wti,upper,0.025,2451,80,15000,20,503922943,0.767033863729,0.5,-0.267033863729,-0.815993472052,0.281925744594,0.743950403306
covid,Brent–WTI,brent,wti,lower,0.05,2451,80,15000,20,2536594023,0.742554059568,0.75,0.00744594043248,-0.500713994288,0.330885352917,0.96320245317
covid,Brent–WTI,brent,wti,upper,0.05,2451,80,15000,20,3927968026,0.750713994288,0.5,-0.250713994288,-0.791513667891,0.031925744594,0.439970668622
covid,Brent–WTI,brent,wti,lower,0.1,2451,80,15000,20,3744671618,0.762953896369,0.625,-0.137953896369,-0.541513667891,0.132445940432,0.481367908806
covid,Brent–WTI,brent,wti,upper,0.1,2451,80,15000,20,3491554663,0.758873929009,0.5,-0.258873929009,-0.416513667891,0.0237658098735,0.0619958669422
covid,Cocoa–Brent,cocoa,brent,lower,0.025,2451,80,15000,20,1743739655,0.114239086087,0,-0.114239086087,-0.179518563851,0.934720522236,0.33271115259
covid,Cocoa–Brent,cocoa,brent,upper,0.025,2451,80,15000,20,1024769812,0.0489596083231,0,-0.0489596083231,-0.114239086087,0,0.145256982868
covid,Cocoa–Brent,cocoa,brent,lower,0.05,2451,80,15000,20,1338330185,0.15503875969,0.25,0.0949612403101,-0.203998368013,0.58680130559,0.604759682688
covid,Cocoa–Brent,cocoa,brent,upper,0.05,2451,80,15000,20,1787319325,0.0489596083231,0,-0.0489596083231,-0.0979192166463,0.418400652795,0.246183587761
covid,Cocoa–Brent,cocoa,brent,lower,0.1,2451,80,15000,20,3200749331,0.175438596491,0.25,0.0745614035088,-0.183598531212,0.300081599347,0.554163055796
covid,Cocoa–Brent,cocoa,brent,upper,0.1,2451,80,15000,20,1656373133,0.134638922889,0.125,-0.00963892288862,-0.15911872705,0.256680946552,0.842943803746
covid,Cocoa–Cedi,cocoa,cedi,lower,0.025,2451,80,15000,20,1362762032,0,0,0,0,0,1
covid,Cocoa–Cedi,cocoa,cedi,upper,0.025,2451,80,15000,20,2943022128,0,0,0,-0.0326397388821,0,1
covid,Cocoa–Cedi,cocoa,cedi,lower,0.05,2451,80,15000,20,2368666092,0.0326397388821,0,-0.0326397388821,-0.0734394124847,0,0.0899940004
covid,Cocoa–Cedi,cocoa,cedi,upper,0.05,2451,80,15000,20,2342607016,0.0407996736026,0,-0.0407996736026,-0.0734394124847,-0.00815993472052,0.0284647690154
covid,Cocoa–Cedi,cocoa,cedi,lower,0.1,2451,80,15000,20,962209950,0.0897592819257,0,-0.0897592819257,-0.130558955528,0.047480620155,0.0828611425905
covid,Cocoa–Cedi,cocoa,cedi,upper,0.1,2451,80,15000,20,3745900483,0.0897592819257,0,-0.0897592819257,-0.122399020808,-0.0489596083231,0.00266648890074
covid,Cocoa–Gold,cocoa,gold,lower,0.025,2451,80,15000,20,37202955,0.0326397388821,0.5,0.467360261118,-0.0815993472052,1,0.869208719419
covid,Cocoa–Gold,cocoa,gold,upper,0.025,2451,80,15000,20,2919472984,0.0326397388821,0,-0.0326397388821,-0.0815993472052,0,0.294713685754
covid,Cocoa–Gold,cocoa,gold,lower,0.05,2451,80,15000,20,440143793,0.0897592819257,0.5,0.410240718074,-0.130558955528,0.918400652795,0.556562895807
covid,Cocoa–Gold,cocoa,gold,upper,0.05,2451,80,15000,20,4232287330,0.0897592819257,0,-0.0897592819257,-0.138718890249,0.176560587515,0.0675288314112
covid,Cocoa–Gold,cocoa,gold,lower,0.1,2451,80,15000,20,161047331,0.134638922889,0.375,0.240361077111,-0.15911872705,0.607201142391,0.378441437238
covid,Cocoa–Gold,cocoa,gold,upper,0.1,2451,80,15000,20,476009833,0.15911872705,0.125,-0.0341187270502,-0.191758465932,0.135760913913,0.84781014599
covid,Cocoa–WTI,cocoa,wti,lower,0.025,2451,80,15000,20,732938844,0.0979192166463,0,-0.0979192166463,-0.16319869441,0.451040391677,0.111992533831
covid,Cocoa–WTI,cocoa,wti,upper,0.025,2451,80,15000,20,1289212326,0.0489596083231,0,-0.0489596083231,-0.114239086087,0,0.174788347444
covid,Cocoa–WTI,cocoa,wti,lower,0.05,2451,80,15000,20,925337132,0.146878824969,0.25,0.103121175031,-0.195838433293,0.58680130559,0.635757616159
covid,Cocoa–WTI,cocoa,wti,upper,0.05,2451,80,15000,20,3222631939,0.0489596083231,0,-0.0489596083231,-0.0897592819257,0.418400652795,0.215585627625
covid,Cocoa–WTI,cocoa,wti,lower,0.1,2451,80,15000,20,990536202,0.16319869441,0.25,0.0868013055896,-0.171358629131,0.34088127295,0.598893407106
covid,Cocoa–WTI,cocoa,wti,upper,0.1,2451,80,15000,20,20486144,0.130558955528,0.125,-0.00555895552836,-0.15911872705,0.252600979192,0.897606826212
covid,Gold–Brent,gold,brent,lower,0.025,2451,80,15000,20,411877082,0.0489596083231,0,-0.0489596083231,-0.114239086087,0.467360261118,0.2075194987
covid,Gold–Brent,gold,brent,upper,0.025,2451,80,15000,20,3513815070,0.0815993472052,0,-0.0815993472052,-0.146878824969,-0.016319869441,0.0326644890341
covid,Gold–Brent,gold,brent,lower,0.05,2451,80,15000,20,1658267630,0.0815993472052,0.25,0.168400652795,-0.122399020808,0.434720522236,0.6299580028
covid,Gold–Brent,gold,brent,upper,0.05,2451,80,15000,20,2946299939,0.0815993472052,0,-0.0815993472052,-0.138718890249,0.184720522236,0.121658556096
covid,Gold–Brent,gold,brent,lower,0.1,2451,80,15000,20,2478788429,0.183598531212,0.25,0.0664014687882,-0.212158302734,0.304161566707,0.575828278115
covid,Gold–Brent,gold,brent,upper,0.1,2451,80,15000,20,1846215375,0.179518563851,0.125,-0.0545185638515,-0.216238270094,0.0990412076703,0.660022665156
covid,Gold–Cedi,gold,cedi,lower,0.025,2451,80,15000,20,2169300283,0.0326397388821,0,-0.0326397388821,-0.0815993472052,0,0.2699820012
covid,Gold–Cedi,gold,cedi,upper,0.025,2451,80,15000,20,3821855760,0.016319869441,0,-0.016319869441,-0.0652794777642,0,0.666888874075
covid,Gold–Cedi,gold,cedi,lower,0.05,2451,80,15000,20,2625370089,0.0571195430437,0,-0.0571195430437,-0.106079151367,-0.016319869441,0.0145990267316
covid,Gold–Cedi,gold,cedi,upper,0.05,2451,80,15000,20,531791591,0.0571195430437,0,-0.0571195430437,-0.106079151367,-0.0244798041616,0.0201319912006
covid,Gold–Cedi,gold,cedi,lower,0.1,2451,80,15000,20,111213638,0.0815993472052,0,-0.0815993472052,-0.118319053448,-0.0489596083231,0.00326644890341
covid,Gold–Cedi,gold,cedi,upper,0.1,2451,80,15000,20,3874745216,0.114239086087,0,-0.114239086087,-0.146878824969,-0.0734394124847,0.0131324578361
covid,Gold–WTI,gold,wti,lower,0.025,2451,80,15000,20,3202052552,0.0489596083231,0,-0.0489596083231,-0.114239086087,0.483680130559,0.252716485568
covid,Gold–WTI,gold,wti,upper,0.025,2451,80,15000,20,3496089971,0.114239086087,0,-0.114239086087,-0.195838433293,0.434720522236,0.122191853876
covid,Gold–WTI,gold,wti,lower,0.05,2451,80,15000,20,1173253813,0.0979192166463,0.25,0.152080783354,-0.130558955528,0.426560587515,0.596026931538
covid,Gold–WTI,gold,wti,upper,0.05,2451,80,15000,20,519219367,0.122399020808,0,-0.122399020808,-0.179518563851,0.627600979192,0.33324445037
covid,Gold–WTI,gold,wti,lower,0.1,2451,80,15000,20,3514510038,0.15503875969,0.125,-0.0300387596899,-0.191758465932,0.22404120767,0.739150723285
covid,Gold–WTI,gold,wti,upper,0.1,2451,80,15000,20,3004952711,0.191758465932,0.375,0.183241534068,-0.220318237454,0.34088127295,0.453636424238
covid,WTI–Cedi,wti,cedi,lower,0.025,2451,80,15000,20,2560313495,0,0,0,-0.016319869441,0,1
covid,WTI–Cedi,wti,cedi,upper,0.025,2451,80,15000,20,3384286500,0.016319869441,0,-0.016319869441,-0.0815993472052,0,0.682421171922
covid,WTI–Cedi,wti,cedi,lower,0.05,2451,80,15000,20,1155322332,0.0489596083231,0,-0.0489596083231,-0.0897592819257,-0.016319869441,0.0231984534364
covid,WTI–Cedi,wti,cedi,upper,0.05,2451,80,15000,20,1597596430,0.0652794777642,0,-0.0652794777642,-0.114239086087,0.184720522236,0.0559962669155
