stress_def,q,tail,pair,lambda_calm,lambda_stress,difference,diff_lo,diff_hi,p_value,sig_uncorrected_5pct,sig_bonferroni_m60,sig_FDR_BH_5pct
2024_only,0.025000,lower,Brent–Cedi,0.015049,0.000000,-0.015049,-0.045147,0.000000,0.790547,False,False,False
2024_only,0.025000,lower,Brent–WTI,0.662152,0.610687,-0.051465,-0.401955,0.331306,0.781281,False,False,False
2024_only,0.025000,lower,Cocoa–Brent,0.090293,0.152672,0.062378,-0.150489,0.305344,0.729551,False,False,False
2024_only,0.025000,lower,Cocoa–Cedi,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,False,False
2024_only,0.025000,lower,Cocoa–Gold,0.030098,0.000000,-0.030098,-0.075245,0.000000,0.279648,False,False,False
2024_only,0.025000,lower,Cocoa–WTI,0.090293,0.152672,0.062378,-0.165538,0.275246,0.728551,False,False,False
2024_only,0.025000,lower,Gold–Brent,0.060196,0.000000,-0.060196,-0.120391,0.137623,0.101260,False,False,False
2024_only,0.025000,lower,Gold–Cedi,0.045147,0.000000,-0.045147,-0.105342,0.000000,0.120925,False,False,False
2024_only,0.025000,lower,Gold–WTI,0.060196,0.000000,-0.060196,-0.120391,0.230099,0.137524,False,False,False
2024_only,0.025000,lower,WTI–Cedi,0.000000,0.000000,0.000000,-0.015049,0.000000,1.000000,False,False,False
2024_only,0.025000,upper,Brent–Cedi,0.045147,0.152672,0.107525,-0.090293,0.442966,0.634758,False,False,False
2024_only,0.025000,upper,Brent–WTI,0.692250,0.610687,-0.081563,-0.492249,0.299025,0.689354,False,False,False
2024_only,0.025000,upper,Cocoa–Brent,0.030098,0.000000,-0.030098,-0.075245,0.305344,0.440371,False,False,False
2024_only,0.025000,upper,Cocoa–Cedi,0.015049,0.000000,-0.015049,-0.045147,0.000000,0.805746,False,False,False
2024_only,0.025000,upper,Cocoa–Gold,0.030098,0.000000,-0.030098,-0.075245,0.000000,0.279315,False,False,False
2024_only,0.025000,upper,Cocoa–WTI,0.030098,0.000000,-0.030098,-0.090293,0.260197,0.359576,False,False,False
2024_only,0.025000,upper,Gold–Brent,0.060196,0.000000,-0.060196,-0.135440,0.215050,0.124858,False,False,False
2024_only,0.025000,upper,Gold–Cedi,0.030098,0.000000,-0.030098,-0.075245,0.000000,0.298247,False,False,False
2024_only,0.025000,upper,Gold–WTI,0.075245,0.000000,-0.075245,-0.150489,-0.015049,0.037731,True,False,False
2024_only,0.025000,upper,WTI–Cedi,0.030098,0.152672,0.122574,-0.075245,0.458015,0.633624,False,False,False
2024_only,0.050000,lower,Brent–Cedi,0.052671,0.000000,-0.052671,-0.105342,-0.015049,0.042664,True,False,False
2024_only,0.050000,lower,Brent–WTI,0.722348,0.916031,0.193683,-0.140667,0.270019,0.220052,False,False,False
2024_only,0.050000,lower,Cocoa–Brent,0.135440,0.076336,-0.059104,-0.173062,0.131190,0.476568,False,False,False
2024_only,0.050000,lower,Cocoa–Cedi,0.037622,0.152672,0.115049,-0.060196,0.130098,0.646157,False,False,False
2024_only,0.050000,lower,Cocoa–Gold,0.082769,0.000000,-0.082769,-0.127916,0.077427,0.117392,False,False,False
2024_only,0.050000,lower,Cocoa–WTI,0.127916,0.076336,-0.051580,-0.165538,0.132281,0.524632,False,False,False
2024_only,0.050000,lower,Gold–Brent,0.090293,0.076336,-0.013958,-0.120391,0.245148,0.890541,False,False,False
2024_only,0.050000,lower,Gold–Cedi,0.052671,0.000000,-0.052671,-0.105342,-0.015049,0.033931,True,False,False
2024_only,0.050000,lower,Gold–WTI,0.112867,0.076336,-0.036531,-0.135440,0.253764,0.744417,False,False,False
2024_only,0.050000,lower,WTI–Cedi,0.037622,0.000000,-0.037622,-0.090293,-0.007524,0.085994,False,False,False
2024_only,0.050000,upper,Brent–Cedi,0.052671,0.076336,0.023665,-0.082769,0.222575,0.698153,False,False,False
2024_only,0.050000,upper,Brent–WTI,0.729872,0.763359,0.033487,-0.233143,0.247445,0.781681,False,False,False
2024_only,0.050000,upper,Cocoa–Brent,0.067720,0.076336,0.008616,-0.090293,0.198910,0.874475,False,False,False
2024_only,0.050000,upper,Cocoa–Cedi,0.052671,0.000000,-0.052671,-0.097818,0.053763,0.070595,False,False,False
2024_only,0.050000,upper,Cocoa–Gold,0.075245,0.000000,-0.075245,-0.120391,0.008616,0.038597,True,False,False
2024_only,0.050000,upper,Cocoa–WTI,0.052671,0.076336,0.023665,-0.075245,0.198910,0.703953,False,False,False
2024_only,0.050000,upper,Gold–Brent,0.067720,0.076336,0.008616,-0.105342,0.183861,0.877342,False,False,False
2024_only,0.050000,upper,Gold–Cedi,0.067720,0.000000,-0.067720,-0.105342,0.000000,0.026132,True,False,False
2024_only,0.050000,upper,Gold–WTI,0.090293,0.000000,-0.090293,-0.142965,0.077454,0.061063,False,False,False
2024_only,0.050000,upper,WTI–Cedi,0.052671,0.076336,0.023665,-0.090293,0.198937,0.691887,False,False,False
2024_only,0.100000,lower,Brent–Cedi,0.120391,0.076336,-0.044055,-0.146727,0.028518,0.453636,False,False,False
2024_only,0.100000,lower,Brent–WTI,0.759970,0.801527,0.041557,-0.114877,0.159823,0.544097,False,False,False
2024_only,0.100000,lower,Cocoa–Brent,0.158014,0.076336,-0.081678,-0.180041,0.013469,0.098660,False,False,False
2024_only,0.100000,lower,Cocoa–Cedi,0.086531,0.076336,-0.010195,-0.112867,0.066141,0.880141,False,False,False
2024_only,0.100000,lower,Cocoa–Gold,0.139202,0.190840,0.051637,-0.085440,0.181190,0.468769,False,False,False
2024_only,0.100000,lower,Cocoa–WTI,0.154251,0.114504,-0.039747,-0.158014,0.078519,0.527165,False,False,False
2024_only,0.100000,lower,Gold–Brent,0.173062,0.152672,-0.020391,-0.145636,0.154854,0.783281,False,False,False
2024_only,0.100000,lower,Gold–Cedi,0.094056,0.038168,-0.055888,-0.120485,0.073679,0.220652,False,False,False
2024_only,0.100000,lower,Gold–WTI,0.173062,0.267176,0.094113,-0.054796,0.234953,0.207586,False,False,False
2024_only,0.100000,lower,WTI–Cedi,0.097818,0.038168,-0.059650,-0.131678,0.027973,0.157989,False,False,False
2024_only,0.100000,upper,Brent–Cedi,0.105342,0.114504,0.009161,-0.101580,0.154309,0.880541,False,False,False
2024_only,0.100000,upper,Brent–WTI,0.733634,0.877863,0.144228,-0.064877,0.213040,0.120459,False,False,False
2024_only,0.100000,upper,Cocoa–Brent,0.139202,0.038168,-0.101034,-0.161776,0.005945,0.034264,True,False,False
2024_only,0.100000,upper,Cocoa–Cedi,0.101580,0.038168,-0.063412,-0.127916,0.070448,0.203120,False,False,False
2024_only,0.100000,upper,Cocoa–Gold,0.139202,0.076336,-0.062867,-0.161776,0.048487,0.267915,False,False,False
2024_only,0.100000,upper,Cocoa–WTI,0.142965,0.076336,-0.066629,-0.150489,0.043567,0.194454,False,False,False
2024_only,0.100000,upper,Gold–Brent,0.154251,0.152672,-0.001580,-0.154251,0.120449,0.981135,False,False,False
2024_only,0.100000,upper,Gold–Cedi,0.112867,0.114504,0.001637,-0.127916,0.089273,0.980335,False,False,False
2024_only,0.100000,upper,Gold–WTI,0.173062,0.190840,0.017777,-0.138657,0.139260,0.820745,False,False,False
2024_only,0.100000,upper,WTI–Cedi,0.105342,0.152672,0.047329,-0.090293,0.173666,0.494900,False,False,False
COVID_only,0.025000,lower,Brent–Cedi,0.015049,0.000000,-0.015049,-0.045147,0.000000,0.786414,False,False,False
COVID_only,0.025000,lower,Brent–WTI,0.662152,0.919540,0.257388,-0.737397,0.717158,0.527365,False,False,False
COVID_only,0.025000,lower,Cocoa–Brent,0.090293,0.000000,-0.090293,-0.165538,0.429672,0.144924,False,False,False
COVID_only,0.025000,lower,Cocoa–Cedi,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,False,False
COVID_only,0.025000,lower,Cocoa–Gold,0.030098,0.459770,0.429672,-0.075245,0.919540,0.865209,False,False,False
COVID_only,0.025000,lower,Cocoa–WTI,0.090293,0.000000,-0.090293,-0.165538,0.414623,0.116592,False,False,False
COVID_only,0.025000,lower,Gold–Brent,0.060196,0.000000,-0.060196,-0.120391,0.384526,0.078195,False,False,False
COVID_only,0.025000,lower,Gold–Cedi,0.045147,0.000000,-0.045147,-0.105342,0.000000,0.121325,False,False,False
COVID_only,0.025000,lower,Gold–WTI,0.060196,0.000000,-0.060196,-0.120391,0.414623,0.132924,False,False,False
COVID_only,0.025000,lower,WTI–Cedi,0.000000,0.000000,0.000000,-0.030098,0.000000,1.000000,False,False,False
COVID_only,0.025000,upper,Brent–Cedi,0.045147,0.000000,-0.045147,-0.105342,0.000000,0.124325,False,False,False
COVID_only,0.025000,upper,Brent–WTI,0.692250,0.459770,-0.232480,-0.767494,0.702109,0.603626,False,False,False
COVID_only,0.025000,upper,Cocoa–Brent,0.030098,0.000000,-0.030098,-0.075245,0.000000,0.276982,False,False,False
COVID_only,0.025000,upper,Cocoa–Cedi,0.015049,0.000000,-0.015049,-0.045147,0.000000,0.808813,False,False,False
COVID_only,0.025000,upper,Cocoa–Gold,0.030098,0.000000,-0.030098,-0.075245,0.000000,0.263982,False,False,False
COVID_only,0.025000,upper,Cocoa–WTI,0.030098,0.000000,-0.030098,-0.090293,0.000000,0.307046,False,False,False
COVID_only,0.025000,upper,Gold–Brent,0.060196,0.000000,-0.060196,-0.135440,-0.015049,0.093594,False,False,False
COVID_only,0.025000,upper,Gold–Cedi,0.030098,0.000000,-0.030098,-0.075245,0.000000,0.301913,False,False,False
COVID_only,0.025000,upper,Gold–WTI,0.075245,0.000000,-0.075245,-0.150489,0.444721,0.130191,False,False,False
COVID_only,0.025000,upper,WTI–Cedi,0.030098,0.000000,-0.030098,-0.090293,0.000000,0.304580,False,False,False
COVID_only,0.050000,lower,Brent–Cedi,0.052671,0.000000,-0.052671,-0.105342,-0.022573,0.027465,True,False,False
COVID_only,0.050000,lower,Brent–WTI,0.722348,0.689655,-0.032692,-0.477414,0.242339,0.696087,False,False,False
COVID_only,0.050000,lower,Cocoa–Brent,0.135440,0.229885,0.094445,-0.188111,0.494019,0.638957,False,False,False
COVID_only,0.050000,lower,Cocoa–Cedi,0.037622,0.000000,-0.037622,-0.067720,-0.007524,0.028931,True,False,False
COVID_only,0.050000,lower,Cocoa–Gold,0.082769,0.459770,0.377001,-0.120391,0.851820,0.500500,False,False,False
COVID_only,0.050000,lower,Cocoa–WTI,0.127916,0.000000,-0.127916,-0.180587,0.501544,0.421439,False,False,False
COVID_only,0.050000,lower,Gold–Brent,0.090293,0.000000,-0.090293,-0.135440,0.377001,0.277248,False,False,False
COVID_only,0.050000,lower,Gold–Cedi,0.052671,0.000000,-0.052671,-0.105342,-0.015049,0.029465,True,False,False
COVID_only,0.050000,lower,Gold–WTI,0.112867,0.229885,0.117018,-0.150489,0.369477,0.631758,False,False,False
COVID_only,0.050000,lower,WTI–Cedi,0.037622,0.000000,-0.037622,-0.090293,-0.007524,0.090327,False,False,False
COVID_only,0.050000,upper,Brent–Cedi,0.052671,0.000000,-0.052671,-0.105342,-0.022573,0.026465,True,False,False
COVID_only,0.050000,upper,Brent–WTI,0.729872,0.229885,-0.499987,-0.759970,0.019979,0.031665,True,False,False
COVID_only,0.050000,upper,Cocoa–Brent,0.067720,0.000000,-0.067720,-0.097818,0.192263,0.084261,False,False,False
COVID_only,0.050000,upper,Cocoa–Cedi,0.052671,0.000000,-0.052671,-0.097818,-0.022573,0.023998,True,False,False
COVID_only,0.050000,upper,Cocoa–Gold,0.075245,0.000000,-0.075245,-0.120391,-0.022573,0.021665,True,False,False
COVID_only,0.050000,upper,Cocoa–WTI,0.052671,0.000000,-0.052671,-0.082769,0.199787,0.086661,False,False,False
COVID_only,0.050000,upper,Gold–Brent,0.067720,0.000000,-0.067720,-0.112867,0.184738,0.100527,False,False,False
COVID_only,0.050000,upper,Gold–Cedi,0.067720,0.000000,-0.067720,-0.105342,-0.022573,0.002133,True,False,False
COVID_only,0.050000,upper,Gold–WTI,0.090293,0.000000,-0.090293,-0.135440,0.606886,0.310979,False,False,False
COVID_only,0.050000,upper,WTI–Cedi,0.052671,0.000000,-0.052671,-0.105342,-0.022573,0.033398,True,False,False
COVID_only,0.100000,lower,Brent–Cedi,0.120391,0.000000,-0.120391,-0.161776,0.224436,0.108326,False,False,False
COVID_only,0.100000,lower,Brent–WTI,0.759970,0.689655,-0.070315,-0.433953,0.170857,0.739084,False,False,False
COVID_only,0.100000,lower,Cocoa–Brent,0.158014,0.229885,0.071872,-0.180587,0.239485,0.627225,False,False,False
COVID_only,0.100000,lower,Cocoa–Cedi,0.086531,0.000000,-0.086531,-0.127916,-0.052671,0.004800,True,False,False
COVID_only,0.100000,lower,Cocoa–Gold,0.139202,0.344828,0.205625,-0.161776,0.561739,0.391574,False,False,False
COVID_only,0.100000,lower,Cocoa–WTI,0.154251,0.114943,-0.039309,-0.180587,0.279183,0.691554,False,False,False
COVID_only,0.100000,lower,Gold–Brent,0.173062,0.229885,0.056823,-0.203160,0.305519,0.667356,False,False,False
COVID_only,0.100000,lower,Gold–Cedi,0.094056,0.000000,-0.094056,-0.131678,-0.056433,0.007466,True,False,False
COVID_only,0.100000,lower,Gold–WTI,0.173062,0.114943,-0.058120,-0.195636,0.301757,0.769149,False,False,False
COVID_only,0.100000,lower,WTI–Cedi,0.097818,0.000000,-0.097818,-0.139202,0.254628,0.111126,False,False,False
COVID_only,0.100000,upper,Brent–Cedi,0.105342,0.000000,-0.105342,-0.142965,-0.067720,0.002000,True,False,False
COVID_only,0.100000,upper,Brent–WTI,0.733634,0.689655,-0.043979,-0.385044,0.174619,0.669155,False,False,False
COVID_only,0.100000,upper,Cocoa–Brent,0.139202,0.114943,-0.024260,-0.161776,0.220674,0.694687,False,False,False
COVID_only,0.100000,upper,Cocoa–Cedi,0.101580,0.000000,-0.101580,-0.135440,-0.063958,0.003733,True,False,False
COVID_only,0.100000,upper,Cocoa–Gold,0.139202,0.114943,-0.024260,-0.169300,0.247010,0.854610,False,False,False
COVID_only,0.100000,upper,Cocoa–WTI,0.142965,0.114943,-0.028022,-0.158014,0.313043,0.731018,False,False,False
COVID_only,0.100000,upper,Gold–Brent,0.154251,0.114943,-0.039309,-0.195636,0.117018,0.705820,False,False,False
COVID_only,0.100000,upper,Gold–Cedi,0.112867,0.000000,-0.112867,-0.142965,0.166637,0.075262,False,False,False
COVID_only,0.100000,upper,Gold–WTI,0.173062,0.344828,0.171765,-0.203160,0.386601,0.413439,False,False,False
COVID_only,0.100000,upper,WTI–Cedi,0.105342,0.000000,-0.105342,-0.142965,0.143354,0.105260,False,False,False
