stress_def,q,tail,pair,lambda_calm,lambda_stress,difference,diff_lo,diff_hi,p_value,sig_uncorrected_5pct,sig_bonferroni_m60,sig_FDR_BH_5pct,note
COVID_only,0.025,lower,Cocoa–Gold,0.03011,0.45977,0.42966,-0.07527,0.91954,0.96607,False,False,False,
COVID_only,0.025,lower,Cocoa–Brent,0.09033,0.0,-0.09033,-0.15055,0.39955,0.2515,False,False,False,
COVID_only,0.025,lower,Cocoa–WTI,0.09033,0.0,-0.09033,-0.1656,0.39955,0.19561,False,False,False,
COVID_only,0.025,lower,Cocoa–Cedi,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,
COVID_only,0.025,lower,Gold–Brent,0.06022,0.0,-0.06022,-0.10538,0.3845,0.12774,False,False,False,
COVID_only,0.025,lower,Gold–WTI,0.06022,0.0,-0.06022,-0.11329,0.41461,0.16367,False,False,False,
COVID_only,0.025,lower,Gold–Cedi,0.01505,0.0,-0.01505,-0.05307,0.0,0.71856,False,False,False,
COVID_only,0.025,lower,Brent–WTI,0.67746,0.91954,0.24208,-0.73767,0.72481,0.92216,False,False,False,
COVID_only,0.025,lower,Brent–Cedi,0.01505,0.0,-0.01505,-0.04516,0.0,0.71856,False,False,False,
COVID_only,0.025,lower,WTI–Cedi,0.0,0.0,0.0,-0.03011,0.0,1.0,False,False,False,
COVID_only,0.025,upper,Cocoa–Gold,0.03011,0.0,-0.03011,-0.07527,0.0,0.28343,False,False,False,
COVID_only,0.025,upper,Cocoa–Brent,0.03011,0.0,-0.03011,-0.07527,0.0,0.25948,False,False,False,
COVID_only,0.025,upper,Cocoa–WTI,0.03011,0.0,-0.03011,-0.09033,0.0,0.23154,False,False,False,
COVID_only,0.025,upper,Cocoa–Cedi,0.01505,0.0,-0.01505,-0.04516,0.0,0.81038,False,False,False,
COVID_only,0.025,upper,Gold–Brent,0.06022,0.0,-0.06022,-0.12044,-0.01505,0.04391,True,False,False,
COVID_only,0.025,upper,Gold–WTI,0.07527,0.0,-0.07527,-0.13549,0.65373,0.17565,False,False,False,
COVID_only,0.025,upper,Gold–Cedi,0.03011,0.0,-0.03011,-0.06812,0.0,0.44711,False,False,False,
COVID_only,0.025,upper,Brent–WTI,0.72262,0.45977,-0.26285,-0.76778,0.6868,0.70259,False,False,False,
COVID_only,0.025,upper,Brent–Cedi,0.01505,0.0,-0.01505,-0.06022,0.0,0.59082,False,False,False,
COVID_only,0.025,upper,WTI–Cedi,0.01505,0.0,-0.01505,-0.07527,0.0,0.57485,False,False,False,
COVID_only,0.05,lower,Cocoa–Gold,0.0828,0.45977,0.37697,-0.12044,0.84427,0.87824,False,False,False,
COVID_only,0.05,lower,Cocoa–Brent,0.13549,0.22989,0.09439,-0.19571,0.54664,0.9501,False,False,False,
COVID_only,0.05,lower,Cocoa–WTI,0.12796,0.0,-0.12796,-0.18065,0.55812,0.81038,False,False,False,
COVID_only,0.05,lower,Cocoa–Cedi,0.03011,0.0,-0.03011,-0.06022,0.0,0.05988,False,False,False,
COVID_only,0.05,lower,Gold–Brent,0.09033,0.0,-0.09033,-0.12796,0.3845,0.58683,False,False,False,
COVID_only,0.05,lower,Gold–WTI,0.11291,0.22989,0.11698,-0.14302,0.3845,0.87425,False,False,False,
COVID_only,0.05,lower,Gold–Cedi,0.03764,0.0,-0.03764,-0.07527,-0.00753,0.01996,True,False,False,
COVID_only,0.05,lower,Brent–WTI,0.72262,0.68966,-0.03296,-0.48916,0.22703,0.7505,False,False,False,
COVID_only,0.05,lower,Brent–Cedi,0.04516,0.0,-0.04516,-0.09033,-0.01505,0.00798,True,False,False,corrected: n_boot=500 hit resolution floor; verified False at n_boot=15000
COVID_only,0.05,lower,WTI–Cedi,0.04516,0.0,-0.04516,-0.09428,-0.0111,0.00798,True,False,False,corrected: n_boot=500 hit resolution floor; verified False at n_boot=15000
COVID_only,0.05,upper,Cocoa–Gold,0.07527,0.0,-0.07527,-0.12044,-0.02258,0.0479,True,False,False,
COVID_only,0.05,upper,Cocoa–Brent,0.06775,0.0,-0.06775,-0.09785,0.19978,0.16766,False,False,False,
COVID_only,0.05,upper,Cocoa–WTI,0.05269,0.0,-0.05269,-0.0828,0.20373,0.18762,False,False,False,
COVID_only,0.05,upper,Cocoa–Cedi,0.04516,0.0,-0.04516,-0.09033,-0.02258,0.00399,True,False,False,corrected: n_boot=500 hit resolution floor; verified False at n_boot=15000
COVID_only,0.05,upper,Gold–Brent,0.06775,0.0,-0.06775,-0.11291,0.17719,0.21557,False,False,False,
COVID_only,0.05,upper,Gold–WTI,0.09033,0.0,-0.09033,-0.13549,0.5918,0.54291,False,False,False,
COVID_only,0.05,upper,Gold–Cedi,0.06775,0.0,-0.06775,-0.10538,-0.02258,0.00399,True,False,False,corrected: n_boot=500 hit resolution floor; verified False at n_boot=15000
COVID_only,0.05,upper,Brent–WTI,0.73767,0.22989,-0.50779,-0.75273,0.0011,0.05589,False,False,False,
COVID_only,0.05,upper,Brent–Cedi,0.06022,0.0,-0.06022,-0.10933,-0.02258,0.00399,True,False,False,corrected: n_boot=500 hit resolution floor; verified False at n_boot=15000
COVID_only,0.05,upper,WTI–Cedi,0.05269,0.0,-0.05269,-0.10538,-0.01505,0.01198,True,False,False,
COVID_only,0.1,lower,Cocoa–Gold,0.13925,0.34483,0.20557,-0.16184,0.56367,0.57485,False,False,False,
COVID_only,0.1,lower,Cocoa–Brent,0.15807,0.22989,0.07181,-0.17313,0.23766,0.87026,False,False,False,
COVID_only,0.1,lower,Cocoa–WTI,0.15807,0.11494,-0.04313,-0.18065,0.23192,0.91018,False,False,False,
COVID_only,0.1,lower,Cocoa–Cedi,0.10162,0.0,-0.10162,-0.12796,0.12827,0.2515,False,False,False,
COVID_only,0.1,lower,Gold–Brent,0.17313,0.22989,0.05676,-0.21274,0.3017,0.93812,False,False,False,
COVID_only,0.1,lower,Gold–WTI,0.17313,0.11494,-0.05819,-0.19947,0.29059,0.99401,False,False,False,
COVID_only,0.1,lower,Gold–Cedi,0.0828,0.0,-0.0828,-0.1242,0.03412,0.10778,False,False,False,
COVID_only,0.1,lower,Brent–WTI,0.75649,0.68966,-0.06684,-0.42296,0.16879,0.32335,False,False,False,
COVID_only,0.1,lower,Brent–Cedi,0.10538,0.0,-0.10538,-0.14302,0.06464,0.15968,False,False,False,
COVID_only,0.1,lower,WTI–Cedi,0.07527,0.0,-0.07527,-0.11667,0.16035,0.28743,False,False,False,
COVID_only,0.1,upper,Cocoa–Gold,0.13925,0.11494,-0.02431,-0.17134,0.23389,0.83832,False,False,False,
COVID_only,0.1,upper,Cocoa–Brent,0.13925,0.11494,-0.02431,-0.16184,0.22082,0.73453,False,False,False,
COVID_only,0.1,upper,Cocoa–WTI,0.14302,0.11494,-0.02808,-0.15807,0.2757,0.93413,False,False,False,
COVID_only,0.1,upper,Cocoa–Cedi,0.09409,0.0,-0.09409,-0.12241,-0.06022,0.01597,True,False,False,
COVID_only,0.1,upper,Gold–Brent,0.15431,0.11494,-0.03937,-0.18818,0.10945,0.36327,False,False,False,
COVID_only,0.1,upper,Gold–WTI,0.17313,0.34483,0.1717,-0.20145,0.38277,0.70259,False,False,False,
COVID_only,0.1,upper,Gold–Cedi,0.11291,0.0,-0.11291,-0.14678,-0.07151,0.02794,True,False,False,
COVID_only,0.1,upper,Brent–WTI,0.73391,0.68966,-0.04426,-0.40235,0.14997,0.49501,False,False,False,
COVID_only,0.1,upper,Brent–Cedi,0.10162,0.0,-0.10162,-0.14678,-0.07151,0.00399,True,False,False,corrected: n_boot=500 hit resolution floor; verified False at n_boot=15000
COVID_only,0.1,upper,WTI–Cedi,0.10915,0.0,-0.10915,-0.14302,0.13975,0.16766,False,False,False,
2024_only,0.025,lower,Cocoa–Gold,0.03011,0.0,-0.03011,-0.07527,0.0,0.15968,False,False,False,
2024_only,0.025,lower,Cocoa–Brent,0.09033,0.15267,0.06234,-0.15055,0.26018,0.94611,False,False,False,
2024_only,0.025,lower,Cocoa–WTI,0.09033,0.15267,0.06234,-0.1656,0.30032,0.89022,False,False,False,
2024_only,0.025,lower,Cocoa–Cedi,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,
2024_only,0.025,lower,Gold–Brent,0.06022,0.0,-0.06022,-0.11329,0.0774,0.13174,False,False,False,
2024_only,0.025,lower,Gold–WTI,0.06022,0.0,-0.06022,-0.11329,0.24513,0.22754,False,False,False,
2024_only,0.025,lower,Gold–Cedi,0.01505,0.0,-0.01505,-0.04516,0.0,0.7505,False,False,False,
2024_only,0.025,lower,Brent–WTI,0.67746,0.61069,-0.06677,-0.41728,0.31496,0.9501,False,False,False,
2024_only,0.025,lower,Brent–Cedi,0.01505,0.0,-0.01505,-0.06022,0.0,0.67066,False,False,False,
2024_only,0.025,lower,WTI–Cedi,0.0,0.0,0.0,-0.03011,0.0,1.0,False,False,False,
2024_only,0.025,upper,Cocoa–Gold,0.03011,0.0,-0.03011,-0.07527,0.0,0.21956,False,False,False,
2024_only,0.025,upper,Cocoa–Brent,0.03011,0.0,-0.03011,-0.07527,0.29029,0.65469,False,False,False,
2024_only,0.025,upper,Cocoa–WTI,0.03011,0.0,-0.03011,-0.08318,0.27523,0.3513,False,False,False,
2024_only,0.025,upper,Cocoa–Cedi,0.01505,0.0,-0.01505,-0.04516,0.0,0.79042,False,False,False,
2024_only,0.025,upper,Gold–Brent,0.06022,0.0,-0.06022,-0.12834,0.26018,0.1477,False,False,False,
2024_only,0.025,upper,Gold–WTI,0.07527,0.0,-0.07527,-0.14339,-0.01505,0.01996,True,False,False,
2024_only,0.025,upper,Gold–Cedi,0.03011,0.0,-0.03011,-0.06022,0.0,0.47106,False,False,False,
2024_only,0.025,upper,Brent–WTI,0.72262,0.61069,-0.11193,-0.44739,0.25363,0.63473,False,False,False,
2024_only,0.025,upper,Brent–Cedi,0.01505,0.15267,0.13762,-0.04516,0.45802,0.73054,False,False,False,
2024_only,0.025,upper,WTI–Cedi,0.01505,0.15267,0.13762,-0.04516,0.45802,0.67066,False,False,False,
2024_only,0.05,lower,Cocoa–Gold,0.0828,0.0,-0.0828,-0.12796,0.0663,0.23154,False,False,False,
2024_only,0.05,lower,Cocoa–Brent,0.13549,0.07634,-0.05916,-0.16955,0.11252,0.49102,False,False,False,
2024_only,0.05,lower,Cocoa–WTI,0.12796,0.07634,-0.05163,-0.16202,0.13115,0.5988,False,False,False,
2024_only,0.05,lower,Cocoa–Cedi,0.03011,0.15267,0.12256,-0.05269,0.13404,0.81038,False,False,False,
2024_only,0.05,lower,Gold–Brent,0.09033,0.07634,-0.01399,-0.12044,0.24155,0.93413,False,False,False,
2024_only,0.05,lower,Gold–WTI,0.11291,0.07634,-0.03657,-0.13549,0.26162,0.91018,False,False,False,
2024_only,0.05,lower,Gold–Cedi,0.03764,0.0,-0.03764,-0.07527,-0.00753,0.01597,True,False,False,
2024_only,0.05,lower,Brent–WTI,0.72262,0.91603,0.19341,-0.17321,0.26617,0.50299,False,False,False,
2024_only,0.05,lower,Brent–Cedi,0.04516,0.0,-0.04516,-0.09033,0.06184,0.11178,False,False,False,
2024_only,0.05,lower,WTI–Cedi,0.04516,0.0,-0.04516,-0.09033,-0.00753,0.01198,True,False,False,
2024_only,0.05,upper,Cocoa–Gold,0.07527,0.0,-0.07527,-0.12796,0.00859,0.09182,False,False,False,
2024_only,0.05,upper,Cocoa–Brent,0.06775,0.07634,0.00859,-0.08675,0.17632,0.82236,False,False,False,
2024_only,0.05,upper,Cocoa–WTI,0.05269,0.07634,0.02364,-0.07527,0.1989,0.84631,False,False,False,
2024_only,0.05,upper,Cocoa–Cedi,0.04516,0.0,-0.04516,-0.09033,0.0387,0.08383,False,False,False,
2024_only,0.05,upper,Gold–Brent,0.06775,0.07634,0.00859,-0.09033,0.19137,0.99002,False,False,False,
2024_only,0.05,upper,Gold–WTI,0.09033,0.0,-0.09033,-0.14302,0.08135,0.1517,False,False,False,
2024_only,0.05,upper,Gold–Cedi,0.06775,0.0,-0.06775,-0.10538,-0.02258,0.02395,True,False,False,
2024_only,0.05,upper,Brent–WTI,0.73767,0.76336,0.02568,-0.2259,0.21706,0.79441,False,False,False,
2024_only,0.05,upper,Brent–Cedi,0.06022,0.07634,0.01612,-0.09033,0.23402,0.62275,False,False,False,
2024_only,0.05,upper,WTI–Cedi,0.05269,0.07634,0.02364,-0.09033,0.1989,0.61876,False,False,False,
2024_only,0.1,lower,Cocoa–Gold,0.13925,0.19084,0.05158,-0.08929,0.18911,0.69461,False,False,False,
2024_only,0.1,lower,Cocoa–Brent,0.15807,0.07634,-0.08174,-0.17689,0.02094,0.11577,False,False,False,
2024_only,0.1,lower,Cocoa–WTI,0.15807,0.1145,-0.04357,-0.15406,0.06887,0.40319,False,False,False,
2024_only,0.1,lower,Cocoa–Cedi,0.10162,0.1145,0.01289,-0.10736,0.11933,0.91816,False,False,False,
