q,tail,pair,lambda_calm,lambda_stress,difference,diff_lo,diff_hi,p_value,sig_uncorrected_5pct,sig_bonferroni_m60,sig_FDR_BH_5pct,bh_cutoff_p_used
0.025000,lower,Brent–Cedi,0.015049,0.000000,-0.015049,-0.045147,0.000000,0.785214,False,False,False,-1.000000
0.025000,lower,Brent–WTI,0.662152,0.687679,0.025527,-0.333361,0.269802,0.872808,False,False,False,-1.000000
0.025000,lower,Cocoa–Brent,0.090293,0.114613,0.024320,-0.150489,0.268595,0.870275,False,False,False,-1.000000
0.025000,lower,Cocoa–Cedi,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,False,False,-1.000000
0.025000,lower,Cocoa–Gold,0.030098,0.229226,0.199129,-0.075245,0.413306,0.644557,False,False,False,-1.000000
0.025000,lower,Cocoa–WTI,0.090293,0.114613,0.024320,-0.150489,0.307964,0.886474,False,False,False,-1.000000
0.025000,lower,Gold–Brent,0.060196,0.000000,-0.060196,-0.120391,0.153982,0.116592,False,False,False,-1.000000
0.025000,lower,Gold–Cedi,0.045147,0.000000,-0.045147,-0.105342,0.000000,0.122525,False,False,False,-1.000000
0.025000,lower,Gold–WTI,0.060196,0.000000,-0.060196,-0.105342,0.199129,0.224118,False,False,False,-1.000000
0.025000,lower,WTI–Cedi,0.000000,0.000000,0.000000,-0.015049,0.000000,1.000000,False,False,False,-1.000000
0.025000,upper,Brent–Cedi,0.045147,0.114613,0.069466,-0.075245,0.328791,0.628025,False,False,False,-1.000000
0.025000,upper,Brent–WTI,0.692250,0.458453,-0.233797,-0.523219,0.110042,0.151857,False,False,False,-1.000000
0.025000,upper,Cocoa–Brent,0.030098,0.000000,-0.030098,-0.075245,0.214177,0.371642,False,False,False,-1.000000
0.025000,upper,Cocoa–Cedi,0.015049,0.000000,-0.015049,-0.045147,0.000000,0.814146,False,False,False,-1.000000
0.025000,upper,Cocoa–Gold,0.030098,0.000000,-0.030098,-0.075245,0.000000,0.258916,False,False,False,-1.000000
0.025000,upper,Cocoa–WTI,0.030098,0.000000,-0.030098,-0.090293,0.000000,0.308046,False,False,False,-1.000000
0.025000,upper,Gold–Brent,0.060196,0.000000,-0.060196,-0.135440,-0.015049,0.090327,False,False,False,-1.000000
0.025000,upper,Gold–Cedi,0.030098,0.000000,-0.030098,-0.075245,0.000000,0.307513,False,False,False,-1.000000
0.025000,upper,Gold–WTI,0.075245,0.000000,-0.075245,-0.150489,-0.015049,0.036798,True,False,False,-1.000000
0.025000,upper,WTI–Cedi,0.030098,0.114613,0.084515,-0.060196,0.343840,0.609026,False,False,False,-1.000000
0.050000,lower,Brent–Cedi,0.052671,0.000000,-0.052671,-0.105342,-0.015049,0.036664,True,False,False,-1.000000
0.050000,lower,Brent–WTI,0.722348,0.859599,0.137251,-0.099500,0.251864,0.174722,False,False,False,-1.000000
0.050000,lower,Cocoa–Brent,0.135440,0.114613,-0.020827,-0.138329,0.173666,0.799880,False,False,False,-1.000000
0.050000,lower,Cocoa–Cedi,0.037622,0.057307,0.019684,-0.060196,0.107089,0.789614,False,False,False,-1.000000
0.050000,lower,Cocoa–Gold,0.082769,0.114613,0.031844,-0.120391,0.191604,0.760283,False,False,False,-1.000000
0.050000,lower,Cocoa–WTI,0.127916,0.114613,-0.013303,-0.135440,0.181191,0.876342,False,False,False,-1.000000
0.050000,lower,Gold–Brent,0.090293,0.114613,0.024320,-0.115756,0.196239,0.776482,False,False,False,-1.000000
0.050000,lower,Gold–Cedi,0.052671,0.000000,-0.052671,-0.105342,-0.015049,0.039664,True,False,False,-1.000000
0.050000,lower,Gold–WTI,0.112867,0.114613,0.001746,-0.127916,0.188715,0.965402,False,False,False,-1.000000
0.050000,lower,WTI–Cedi,0.037622,0.000000,-0.037622,-0.090293,-0.007524,0.088927,False,False,False,-1.000000
0.050000,upper,Brent–Cedi,0.052671,0.057307,0.004635,-0.082769,0.156871,0.942804,False,False,False,-1.000000
