q,pair,lambda_calm,calm_lo,calm_hi,lambda_stress,stress_lo,stress_hi,difference,diff_lo,diff_hi,significant_5pct,diff_lo_bonf,diff_hi_bonf,significant_bonferroni
0.025,Cocoa–Gold,0.0301,0.0,0.0904,0.2292,0.0,0.4585,0.1991,-0.0754,0.4362,False,-0.1168,0.6292,False
0.025,Cocoa–Brent,0.0904,0.0301,0.1658,0.1146,0.0,0.3438,0.0242,-0.1507,0.2915,False,-0.1922,0.4246,False
0.025,Cocoa–WTI,0.0904,0.0301,0.1658,0.1146,0.0,0.3438,0.0242,-0.1507,0.3137,False,-0.1959,0.509,False
0.025,Cocoa–Cedi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.1146,False
0.025,Gold–Brent,0.0603,0.0151,0.1206,0.0,0.0,0.2292,-0.0603,-0.1206,0.184,False,-0.1356,0.325,False
0.025,Gold–WTI,0.0603,0.0151,0.1206,0.0,0.0,0.2292,-0.0603,-0.1206,0.2142,False,-0.1356,0.381,False
0.025,Gold–Cedi,0.0452,0.0,0.1055,0.0,0.0,0.0,-0.0452,-0.1055,0.0,False,-0.1319,0.0,False
0.025,Brent–WTI,0.6782,0.5878,0.7766,0.6877,0.3438,0.9169,0.0095,-0.3224,0.2538,False,-0.4399,0.3126,False
0.025,Brent–Cedi,0.0151,0.0,0.0452,0.0,0.0,0.0,-0.0151,-0.0452,0.0,False,-0.0754,0.0,False
0.025,WTI–Cedi,0.0,0.0,0.0151,0.0,0.0,0.0,0.0,-0.0151,0.0,False,-0.0452,0.0,False
0.05,Cocoa–Gold,0.0829,0.0452,0.1281,0.1146,0.0,0.2865,0.0317,-0.1245,0.2094,False,-0.1413,0.3342,False
0.05,Cocoa–Brent,0.1356,0.0789,0.1884,0.1146,0.0,0.2865,-0.021,-0.1236,0.1735,False,-0.1809,0.2271,False
0.05,Cocoa–WTI,0.1281,0.0754,0.1809,0.1146,0.0,0.2865,-0.0135,-0.1221,0.1886,False,-0.1583,0.2365,False
0.05,Cocoa–Cedi,0.0377,0.0075,0.0678,0.0573,0.0,0.1146,0.0196,-0.0603,0.1071,False,-0.081,0.1701,False
0.05,Gold–Brent,0.0904,0.0452,0.1356,0.1146,0.0,0.2865,0.0242,-0.1095,0.2076,False,-0.1432,0.27,False
0.05,Gold–WTI,0.113,0.0603,0.1658,0.1146,0.0,0.2865,0.0016,-0.1206,0.1886,False,-0.1564,0.2592,False
0.05,Gold–Cedi,0.0528,0.0151,0.1055,0.0,0.0,0.0,-0.0528,-0.1055,-0.0151,True,-0.1338,0.0504,False
0.05,Brent–WTI,0.7234,0.6707,0.7837,0.8596,0.6304,0.9742,0.1362,-0.081,0.2508,False,-0.138,0.3126,False
0.05,Brent–Cedi,0.0528,0.0226,0.1055,0.0,0.0,0.0,-0.0528,-0.1055,-0.0151,True,-0.1262,0.0102,False
0.05,WTI–Cedi,0.0377,0.0151,0.0904,0.0,0.0,0.0,-0.0377,-0.0904,-0.0151,True,-0.1055,-0.0075,True
0.1,Cocoa–Gold,0.1432,0.1055,0.1846,0.2006,0.086,0.2865,0.0574,-0.0791,0.166,False,-0.1283,0.2271,False
0.1,Cocoa–Brent,0.162,0.1206,0.1997,0.1146,0.0287,0.2292,-0.0474,-0.1323,0.0649,False,-0.1581,0.1113,False
0.1,Cocoa–WTI,0.1583,0.1093,0.2017,0.1433,0.0573,0.2729,-0.015,-0.1228,0.1317,False,-0.1638,0.1946,False
0.1,Cocoa–Cedi,0.0904,0.0565,0.1226,0.086,0.0,0.1433,-0.0045,-0.1075,0.0604,False,-0.1234,0.1058,False
0.1,Gold–Brent,0.1733,0.1281,0.2223,0.1719,0.0573,0.3152,-0.0014,-0.1371,0.1438,False,-0.165,0.2135,False
0.1,Gold–WTI,0.1733,0.1243,0.2092,0.2292,0.1146,0.3438,0.0559,-0.0694,0.1931,False,-0.1243,0.2673,False
0.1,Gold–Cedi,0.0942,0.0565,0.1356,0.0287,0.0,0.086,-0.0655,-0.1206,0.0114,False,-0.1422,0.0649,False
0.1,Brent–WTI,0.7573,0.7159,0.8026,0.8023,0.6304,0.8883,0.0449,-0.1432,0.1422,False,-0.1934,0.1812,False
0.1,Brent–Cedi,0.1206,0.0867,0.162,0.0287,0.0,0.1433,-0.0919,-0.1507,0.0189,False,-0.1686,0.0544,False
0.1,WTI–Cedi,0.098,0.0716,0.1432,0.0287,0.0,0.1146,-0.0693,-0.1356,0.0073,False,-0.1536,0.0508,False
