q,pair,lambda_calm,calm_lo,calm_hi,lambda_stress,stress_lo,stress_hi,difference,diff_lo,diff_hi,significant_5pct,diff_lo_bonf,diff_hi_bonf,significant_bonferroni
0.025,Cocoa–Gold,0.0301,0.0,0.0754,0.0,0.0,0.0,-0.0301,-0.0754,0.0,False,-0.1018,0.0,False
0.025,Cocoa–Brent,0.0301,0.0,0.0754,0.0,0.0,0.2292,-0.0301,-0.0754,0.1769,False,-0.1055,0.3213,False
0.025,Cocoa–WTI,0.0301,0.0,0.0904,0.0,0.0,0.0,-0.0301,-0.0904,0.0,False,-0.1168,0.0807,False
0.025,Cocoa–Cedi,0.0151,0.0,0.0452,0.0,0.0,0.0,-0.0151,-0.0452,0.0,False,-0.0716,0.0749,False
0.025,Gold–Brent,0.0603,0.0151,0.1356,0.0,0.0,0.0,-0.0603,-0.1356,-0.0151,True,-0.1507,0.0,False
0.025,Gold–WTI,0.0754,0.0151,0.1507,0.0,0.0,0.0,-0.0754,-0.1507,-0.0151,True,-0.1809,0.0,False
0.025,Gold–Cedi,0.0301,0.0,0.0682,0.0,0.0,0.0,-0.0301,-0.0682,0.0,False,-0.0867,0.0,False
0.025,Brent–WTI,0.7084,0.633,0.7988,0.4585,0.2292,0.8023,-0.2499,-0.5244,0.1439,False,-0.6693,0.306,False
0.025,Brent–Cedi,0.0452,0.0,0.0904,0.1146,0.0,0.3438,0.0694,-0.0754,0.3288,False,-0.1168,0.5204,False
0.025,WTI–Cedi,0.0301,0.0,0.0904,0.1146,0.0,0.3438,0.0845,-0.0603,0.3438,False,-0.1055,0.5543,False
0.05,Cocoa–Gold,0.0754,0.0377,0.1206,0.0,0.0,0.0573,-0.0754,-0.1206,0.0121,False,-0.1432,0.06,False
0.05,Cocoa–Brent,0.0678,0.0226,0.1019,0.0573,0.0,0.1719,-0.0105,-0.0869,0.1267,False,-0.1055,0.1735,False
0.05,Cocoa–WTI,0.0528,0.0151,0.0904,0.0573,0.0,0.1719,0.0046,-0.0829,0.1342,False,-0.1036,0.1588,False
0.05,Cocoa–Cedi,0.0528,0.0226,0.098,0.0,0.0,0.1146,-0.0528,-0.098,0.0393,False,-0.113,0.1305,False
0.05,Gold–Brent,0.0678,0.0226,0.113,0.0573,0.0,0.1719,-0.0105,-0.1055,0.1041,False,-0.1206,0.1622,False
0.05,Gold–WTI,0.0904,0.0452,0.1432,0.0,0.0,0.1719,-0.0904,-0.1356,0.099,False,-0.1639,0.152,False
0.05,Gold–Cedi,0.0678,0.0226,0.1019,0.0,0.0,0.1146,-0.0678,-0.1019,0.0468,False,-0.1262,0.1143,False
0.05,Brent–WTI,0.731,0.6556,0.7988,0.745,0.4585,0.8596,0.014,-0.2665,0.1738,False,-0.3713,0.23,False
0.05,Brent–Cedi,0.0603,0.0226,0.1055,0.0573,0.0,0.1719,-0.003,-0.0829,0.1493,False,-0.1055,0.2187,False
0.05,WTI–Cedi,0.0528,0.0226,0.1055,0.0573,0.0,0.1719,0.0046,-0.0829,0.1418,False,-0.1036,0.2319,False
0.1,Cocoa–Gold,0.1394,0.1017,0.1791,0.086,0.0,0.2006,-0.0535,-0.1409,0.0687,False,-0.1577,0.1196,False
0.1,Cocoa–Brent,0.1394,0.1017,0.1771,0.0573,0.0,0.1146,-0.0821,-0.1484,-0.0066,True,-0.1696,0.0278,False
0.1,Cocoa–WTI,0.1432,0.098,0.1696,0.086,0.0,0.1719,-0.0572,-0.1327,0.04,False,-0.1605,0.0644,False
0.1,Cocoa–Cedi,0.1017,0.0678,0.1356,0.0287,0.0,0.1433,-0.0731,-0.1243,0.031,False,-0.1413,0.0941,False
0.1,Gold–Brent,0.1545,0.1093,0.2035,0.1433,0.0287,0.2292,-0.0112,-0.1455,0.0831,False,-0.1799,0.1279,False
0.1,Gold–WTI,0.1733,0.1319,0.2223,0.2006,0.086,0.2865,0.0272,-0.1112,0.1303,False,-0.1545,0.1754,False
0.1,Gold–Cedi,0.113,0.0791,0.1432,0.086,0.0,0.2006,-0.0271,-0.1281,0.0895,False,-0.1356,0.1339,False
0.1,Brent–WTI,0.731,0.6933,0.7913,0.7736,0.659,0.9169,0.0427,-0.0772,0.1829,False,-0.1389,0.225,False
0.1,Brent–Cedi,0.1055,0.0716,0.1394,0.086,0.0,0.2292,-0.0195,-0.1007,0.117,False,-0.1309,0.1644,False
0.1,WTI–Cedi,0.1055,0.0716,0.1469,0.1146,0.0287,0.2292,0.0091,-0.0977,0.1388,False,-0.1275,0.1765,False
