pair,lambda_L_calm,calm_95CI,lambda_L_stress,stress_95CI,difference,diff_95CI,significant_5pct,ratio
Cocoa–Gold,0.143,"[0.11, 0.18]",0.201,"[0.09, 0.29]",0.057,"[-0.08, 0.17]",False,1.401
Cocoa–Brent,0.162,"[0.12, 0.20]",0.115,"[0.03, 0.23]",-0.047,"[-0.13, 0.06]",False,0.707
Cocoa–WTI,0.158,"[0.11, 0.20]",0.143,"[0.06, 0.27]",-0.015,"[-0.12, 0.13]",False,0.905
Cocoa–Cedi,0.09,"[0.06, 0.12]",0.086,"[0.00, 0.14]",-0.004,"[-0.11, 0.06]",False,0.951
Gold–Brent,0.173,"[0.13, 0.22]",0.172,"[0.06, 0.32]",-0.001,"[-0.14, 0.14]",False,0.992
Gold–WTI,0.173,"[0.12, 0.21]",0.229,"[0.11, 0.34]",0.056,"[-0.07, 0.19]",False,1.323
Gold–Cedi,0.094,"[0.06, 0.14]",0.029,"[0.00, 0.09]",-0.066,"[-0.12, 0.01]",False,0.304
Brent–WTI,0.757,"[0.72, 0.80]",0.802,"[0.63, 0.89]",0.045,"[-0.14, 0.14]",False,1.059
Brent–Cedi,0.121,"[0.09, 0.16]",0.029,"[0.00, 0.14]",-0.092,"[-0.15, 0.02]",False,0.238
WTI–Cedi,0.098,"[0.07, 0.14]",0.029,"[0.00, 0.11]",-0.069,"[-0.14, 0.01]",False,0.292
