treatment,pair,n,lambda_L_full,lambda_U_full,lambda_calm,lambda_stress,difference,p_value,sig_5pct
A_GARCH_baseline,Cocoa–Cedi,3006,0.0466,0.0399,0.0301,0.0573,0.0272,0.8463,False
A_GARCH_baseline,Gold–Cedi,3006,0.0266,0.0599,0.0376,0.0,-0.0376,0.0359,True
A_GARCH_baseline,Brent–Cedi,3006,0.0333,0.0599,0.0452,0.0,-0.0452,0.0559,True
A_GARCH_baseline,WTI–Cedi,3006,0.0333,0.0599,0.0452,0.0,-0.0452,0.012,True
B_no_GARCH_raw_ranks,Cocoa–Cedi,3006,0.0266,0.0532,0.0226,0.0,-0.0226,0.7784,False
B_no_GARCH_raw_ranks,Gold–Cedi,3006,0.0333,0.0599,0.0376,0.0,-0.0376,0.1477,False
B_no_GARCH_raw_ranks,Brent–Cedi,3006,0.0466,0.0399,0.0527,0.0,-0.0527,0.0519,True
B_no_GARCH_raw_ranks,WTI–Cedi,3006,0.0399,0.0333,0.0452,0.0,-0.0452,0.008,True
C_ARMA_only,Cocoa–Cedi,3006,0.0266,0.0532,0.0226,0.0,-0.0226,0.7824,False
C_ARMA_only,Gold–Cedi,3006,0.0333,0.0599,0.0376,0.0,-0.0376,0.1357,False
C_ARMA_only,Brent–Cedi,3006,0.0466,0.0399,0.0527,0.0,-0.0527,0.0359,True
C_ARMA_only,WTI–Cedi,3006,0.0399,0.0333,0.0452,0.0,-0.0452,0.012,True
D_weekly_frequency,Cocoa–Cedi,599,0.0334,0.0668,0.0377,0.0,-0.0377,1.0,False
D_weekly_frequency,Gold–Cedi,599,0.0334,0.0668,0.0,0.2899,0.2899,1.0,False
D_weekly_frequency,Brent–Cedi,599,0.0334,0.0668,0.0377,0.0,-0.0377,0.515,False
D_weekly_frequency,WTI–Cedi,599,0.0334,0.1336,0.0377,0.0,-0.0377,0.6108,False
E_hurdle_model,Cocoa–Cedi,3006,0.0266,0.0532,0.0226,0.0,-0.0226,0.7625,False
E_hurdle_model,Gold–Cedi,3006,0.0333,0.0532,0.0376,0.0,-0.0376,0.1317,False
E_hurdle_model,Brent–Cedi,3006,0.0466,0.0399,0.0527,0.0,-0.0527,0.0479,True
E_hurdle_model,WTI–Cedi,3006,0.0399,0.0333,0.0452,0.0,-0.0452,0.008,True
F_hurdle_tworegime,Cocoa–Cedi,3006,0.0266,0.0532,0.0226,0.0,-0.0226,0.7984,False
F_hurdle_tworegime,Gold–Cedi,3006,0.0333,0.0532,0.0376,0.0,-0.0376,0.0798,False
F_hurdle_tworegime,Brent–Cedi,3006,0.0466,0.0399,0.0527,0.0,-0.0527,0.0439,True
F_hurdle_tworegime,WTI–Cedi,3006,0.0466,0.0333,0.0527,0.0,-0.0527,0.004,True
G_hurdle_markov,Cocoa–Cedi,3006,0.0466,0.0466,0.0301,0.1146,0.0845,0.3633,False
G_hurdle_markov,Gold–Cedi,3006,0.0532,0.0665,0.0527,0.0,-0.0527,0.0998,False
G_hurdle_markov,Brent–Cedi,3006,0.0399,0.0532,0.0452,0.0,-0.0452,0.004,True
G_hurdle_markov,WTI–Cedi,3006,0.0266,0.0599,0.0301,0.0,-0.0301,0.0479,True
