,cedi,cedi_yahoo,gap_pct
2015-01-28,3.2328,3.319999933242798,2.7
2015-01-29,3.2328,3.380000114440918,4.55
2015-01-30,3.2401,3.3299999237060547,2.77
2015-02-02,3.2436,3.3499999046325684,3.28
2015-02-05,3.276,3.380000114440918,3.17
2015-02-06,3.2808,3.359999895095825,2.41
2015-02-09,3.2841,3.380000114440918,2.92
2015-02-18,3.3957,3.4800000190734863,2.48
2015-03-17,3.5561,3.634999990463257,2.22
2015-03-20,3.6402,3.740000009536743,2.74
2015-03-27,3.7152,3.799999952316284,2.28
2015-05-18,3.8758,3.9700000286102295,2.43
2015-05-19,3.8616,3.940000057220459,2.03
2015-05-20,3.874,3.9800000190734863,2.74
2015-05-21,3.9057,3.990000009536743,2.16
2015-05-22,3.9385,4.019999980926514,2.07
2015-05-26,3.9318,4.026000022888184,2.4
2015-06-10,4.1171,4.199999809265137,2.01
2015-06-11,4.1362,4.21999979019165,2.03
2015-06-12,4.1614,4.289999961853027,3.09
2015-06-15,4.1845,4.28000020980835,2.28
2015-06-16,4.2302,4.320000171661377,2.12
2015-06-17,4.2319,4.360000133514404,3.03
2015-06-18,4.2481,4.369999885559082,2.87
2015-06-19,4.2694,4.360000133514404,2.12
2015-06-23,4.2812,4.380000114440918,2.31
2015-07-02,4.1914,4.349999904632568,3.78
2015-07-03,4.0217,4.321499824523926,7.45
2015-07-06,3.9302,4.199999809265137,6.86
2015-07-07,3.7918,3.920000076293945,3.38
2015-07-08,3.668,3.900000095367432,6.32
2015-07-09,3.5463,3.7699999809265137,6.31
2015-07-10,3.4613,3.619999885559082,4.58
2015-07-13,3.3347,3.440000057220459,3.16
2015-07-14,3.3126,3.450000047683716,4.15
2015-07-15,3.3111,3.470000028610229,4.8
2015-07-16,3.2545,3.400000095367432,4.47
2015-07-21,3.266,3.200000047683716,2.02
2015-07-22,3.278,3.2100000381469727,2.07
2015-07-28,3.4121,3.5299999713897705,3.46
2015-07-29,3.4251,3.660000085830689,6.86
2015-07-30,3.4546,3.650000095367432,5.66
2015-07-31,3.4648,3.7200000286102295,7.37
2015-08-03,3.5552,3.7200000286102295,4.64
2015-08-04,3.5926,3.7799999713897705,5.22
2015-08-05,3.6757,3.7699999809265137,2.57
2015-08-07,3.7577,3.680000066757202,2.07
2015-08-10,3.7803,3.680000066757202,2.65
2015-08-11,3.7972,3.890000104904175,2.44
2015-08-12,3.8269,3.930000066757202,2.69
2015-08-13,3.8732,4.0,3.27
2015-08-17,3.9237,4.010000228881836,2.2
2015-08-18,3.9397,4.076200008392334,3.46
2015-08-19,3.9621,4.087100028991699,3.15
2015-08-20,3.9797,4.098400115966797,2.98
2015-08-21,4.0192,4.170100212097168,3.75
2015-08-24,4.0346,4.259900093078613,5.58
2015-08-25,4.0486,4.33620023727417,7.1
2015-08-26,4.06,4.334000110626221,6.75
2015-08-27,4.0671,4.202400207519531,3.33
2015-08-28,4.0456,4.143099784851074,2.41
2015-08-31,3.9231,4.055500030517578,3.37
2015-09-01,3.7798,3.90339994430542,3.27
2015-09-02,3.7412,3.85509991645813,3.04
2015-09-04,3.7083,3.8060998916625977,2.64
2015-09-08,3.7141,3.799999952316284,2.31
2015-09-09,3.7202,3.839999914169312,3.22
2015-09-10,3.7252,3.829999923706055,2.81
2015-09-11,3.7252,3.869999885559082,3.89
2015-09-14,3.7861,3.900000095367432,3.01
2015-09-15,3.8074,3.890000104904175,2.17
2015-09-16,3.8323,3.940000057220459,2.81
2015-09-18,3.8494,3.990000009536743,3.65
2015-11-03,3.7898,3.869999885559082,2.12
2015-11-04,3.7899,3.872499942779541,2.18
2016-01-12,3.7991,3.891000032424927,2.42
2016-01-18,3.8083,3.9579999446868896,3.93
2016-01-19,3.8143,3.947999954223633,3.51
2016-01-20,3.8146,3.940200090408325,3.29
2016-01-21,3.8148,3.948899984359741,3.52
2016-01-22,3.8195,3.959700107574463,3.67
2016-01-25,3.8245,4.009300231933594,4.83
2016-01-26,3.8289,3.934499979019165,2.76
2016-01-27,3.8311,4.011499881744385,4.71
2016-01-29,3.8344,3.9600000381469727,3.28
2016-02-01,3.8391,3.997600078582764,4.13
2016-02-02,3.8447,4.0177001953125,4.5
2016-02-03,3.8472,3.9672000408172607,3.12
2016-02-05,3.8588,3.990000009536743,3.4
2016-02-08,3.8609,3.990000009536743,3.34
2016-02-09,3.867,3.990000009536743,3.18
2016-02-11,3.878,3.9700000286102295,2.37
2016-02-16,3.8765,3.9800000190734863,2.67
2016-09-13,3.9546,3.838200092315674,2.94
2016-10-13,3.9686,3.884700059890747,2.11
2016-11-18,3.9773,4.060100078582764,2.08
2016-11-25,3.9796,4.163099765777588,4.61
2016-11-28,3.9799,4.073299884796143,2.35
2016-11-29,3.9805,4.134399890899658,3.87
2016-11-30,4.0316,4.28000020980835,6.16
2016-12-01,4.0322,4.340000152587891,7.63
2016-12-05,4.0325,4.304699897766113,6.75
2016-12-06,4.0364,4.2729997634887695,5.86
2016-12-07,4.0364,4.300000190734863,6.53
2016-12-08,4.0377,4.2042999267578125,4.13
2016-12-09,4.0394,4.218599796295166,4.44
2016-12-12,4.0692,4.200699806213379,3.23
2016-12-20,4.1231,4.207200050354004,2.04
2016-12-28,4.1787,4.276500225067139,2.34
2017-01-27,4.2689,4.36269998550415,2.2
2017-02-21,4.376,4.50629997253418,2.98
2017-02-22,4.4263,4.534599781036377,2.45
2017-02-23,4.4363,4.539999961853027,2.34
2017-02-24,4.4399,4.539999961853027,2.25
2017-02-27,4.4594,4.611999988555908,3.42
2017-02-28,4.4786,4.599999904632568,2.71
2017-03-01,4.497,4.690000057220459,4.29
2017-03-02,4.5038,4.680200099945068,3.92
2017-03-03,4.5092,4.728899955749512,4.87
2017-03-07,4.542,4.710000038146973,3.7
2017-05-22,4.2629,4.370299816131592,2.52
2017-05-24,4.3032,4.417799949645996,2.66
2017-09-28,4.4018,4.505799770355225,2.36
2017-11-17,4.3955,4.511499881744385,2.64
2017-11-20,4.4005,4.5447998046875,3.28
2017-11-21,4.4005,4.605000019073486,4.65
2017-11-22,4.4036,4.593900203704834,4.32
2017-11-23,4.4036,4.537700176239014,3.05
2017-11-24,4.4065,4.60129976272583,4.42
2017-11-27,4.4076,4.550099849700928,3.23
2017-11-28,4.4124,4.625999927520752,4.84
2017-11-29,4.4124,4.604300022125244,4.35
2017-11-30,4.4122,4.570499897003174,3.59
2017-12-18,4.4115,4.507800102233887,2.18
