treatment,pair,q,n,lambda_L_full,lambda_U_full,lambda_calm,lambda_stress,difference,p_value,sig_nominal_5pct
A_GARCH_baseline,Cocoa–Cedi,0.025,3007,0.0,0.0133,0.0,0.0,0.0,1.0,False
A_GARCH_baseline,Cocoa–Cedi,0.05,3007,0.0399,0.0466,0.0376,0.0573,0.0197,0.7605,False
A_GARCH_baseline,Cocoa–Cedi,0.1,3007,0.0898,0.0964,0.0865,0.086,-0.0006,0.984,False
A_GARCH_baseline,Gold–Cedi,0.025,3007,0.0399,0.0266,0.0451,0.0,-0.0451,0.1357,False
A_GARCH_baseline,Gold–Cedi,0.05,3007,0.0466,0.0599,0.0527,0.0,-0.0527,0.0399,True
A_GARCH_baseline,Gold–Cedi,0.1,3007,0.0931,0.1131,0.0941,0.0287,-0.0654,0.0699,False
A_GARCH_baseline,Brent–Cedi,0.025,3007,0.0,0.0532,0.015,0.0,-0.015,0.7804,False
A_GARCH_baseline,Brent–Cedi,0.05,3007,0.0399,0.0599,0.0527,0.0,-0.0527,0.0259,True
A_GARCH_baseline,Brent–Cedi,0.1,3007,0.1197,0.1031,0.1204,0.0287,-0.0917,0.0459,True
A_GARCH_baseline,WTI–Cedi,0.025,3007,0.0,0.0399,0.0,0.0,0.0,1.0,False
A_GARCH_baseline,WTI–Cedi,0.05,3007,0.0266,0.0665,0.0376,0.0,-0.0376,0.1058,False
A_GARCH_baseline,WTI–Cedi,0.1,3007,0.0931,0.1097,0.0978,0.0287,-0.0692,0.0699,False
B_no_GARCH_raw_ranks,Cocoa–Cedi,0.025,3007,0.0,0.0133,0.0,0.0,0.0,1.0,False
B_no_GARCH_raw_ranks,Cocoa–Cedi,0.05,3007,0.0266,0.0532,0.0226,0.0,-0.0226,0.4651,False
B_no_GARCH_raw_ranks,Cocoa–Cedi,0.1,3007,0.0798,0.1064,0.0865,0.0287,-0.0579,0.2635,False
B_no_GARCH_raw_ranks,Gold–Cedi,0.025,3007,0.0133,0.0133,0.015,0.0,-0.015,0.6467,False
B_no_GARCH_raw_ranks,Gold–Cedi,0.05,3007,0.0333,0.0599,0.0376,0.0,-0.0376,0.0958,False
B_no_GARCH_raw_ranks,Gold–Cedi,0.1,3007,0.0831,0.1031,0.0865,0.0573,-0.0292,0.4591,False
B_no_GARCH_raw_ranks,Brent–Cedi,0.025,3007,0.0399,0.0133,0.0451,0.0,-0.0451,0.1218,False
B_no_GARCH_raw_ranks,Brent–Cedi,0.05,3007,0.0466,0.0399,0.0527,0.0,-0.0527,0.02,True
B_no_GARCH_raw_ranks,Brent–Cedi,0.1,3007,0.0831,0.1031,0.0978,0.086,-0.0119,0.8104,False
B_no_GARCH_raw_ranks,WTI–Cedi,0.025,3007,0.0532,0.0133,0.0602,0.0,-0.0602,0.0379,True
B_no_GARCH_raw_ranks,WTI–Cedi,0.05,3007,0.0399,0.0333,0.0451,0.0,-0.0451,0.0339,True
B_no_GARCH_raw_ranks,WTI–Cedi,0.1,3007,0.0831,0.1064,0.0941,0.0573,-0.0367,0.3733,False
C_AR_only,Cocoa–Cedi,0.025,3007,0.0,0.0133,0.0,0.0,0.0,1.0,False
C_AR_only,Cocoa–Cedi,0.05,3007,0.0266,0.0532,0.0226,0.0,-0.0226,0.4651,False
C_AR_only,Cocoa–Cedi,0.1,3007,0.0798,0.1031,0.0828,0.0287,-0.0541,0.2874,False
C_AR_only,Gold–Cedi,0.025,3007,0.0133,0.0133,0.015,0.0,-0.015,0.5808,False
C_AR_only,Gold–Cedi,0.05,3007,0.0333,0.0599,0.0376,0.0,-0.0376,0.1058,False
C_AR_only,Gold–Cedi,0.1,3007,0.0831,0.1031,0.0865,0.0573,-0.0292,0.523,False
C_AR_only,Brent–Cedi,0.025,3007,0.0399,0.0133,0.0451,0.0,-0.0451,0.1457,False
C_AR_only,Brent–Cedi,0.05,3007,0.0466,0.0399,0.0527,0.0,-0.0527,0.0379,True
C_AR_only,Brent–Cedi,0.1,3007,0.0831,0.1064,0.0941,0.086,-0.0081,0.8762,False
C_AR_only,WTI–Cedi,0.025,3007,0.0532,0.0133,0.0602,0.0,-0.0602,0.0699,False
C_AR_only,WTI–Cedi,0.05,3007,0.0399,0.0333,0.0451,0.0,-0.0451,0.0399,True
C_AR_only,WTI–Cedi,0.1,3007,0.0798,0.1097,0.0903,0.0573,-0.033,0.4631,False
D_weekly_frequency,Cocoa–Cedi,0.025,600,0.0,0.0667,0.0,0.0,0.0,1.0,False
D_weekly_frequency,Cocoa–Cedi,0.05,600,0.0333,0.1,0.0377,0.0,-0.0377,0.6587,False
D_weekly_frequency,Cocoa–Cedi,0.1,600,0.1,0.1167,0.0942,0.0,-0.0942,0.4391,False
D_weekly_frequency,Gold–Cedi,0.025,600,0.0,0.0,0.0,0.0,0.0,1.0,False
D_weekly_frequency,Gold–Cedi,0.05,600,0.1333,0.1,0.1507,0.0,-0.1507,0.1437,False
D_weekly_frequency,Gold–Cedi,0.1,600,0.1333,0.1667,0.1507,0.1449,-0.0057,0.9601,False
D_weekly_frequency,Brent–Cedi,0.025,600,0.0667,0.0,0.0753,0.0,-0.0753,0.7685,False
D_weekly_frequency,Brent–Cedi,0.05,600,0.0333,0.0333,0.0377,0.0,-0.0377,0.6407,False
D_weekly_frequency,Brent–Cedi,0.1,600,0.1333,0.1333,0.0942,0.2899,0.1957,0.3912,False
D_weekly_frequency,WTI–Cedi,0.025,600,0.0,0.0,0.0,0.0,0.0,1.0,False
D_weekly_frequency,WTI–Cedi,0.05,600,0.0333,0.0333,0.0377,0.0,-0.0377,0.6387,False
D_weekly_frequency,WTI–Cedi,0.1,600,0.1333,0.15,0.113,0.1449,0.0319,0.9182,False
E_hurdle_studentt,Cocoa–Cedi,0.025,3006,0.0,0.0133,0.0,0.0,0.0,1.0,False
E_hurdle_studentt,Cocoa–Cedi,0.05,3006,0.0266,0.0532,0.0226,0.0,-0.0226,0.4371,False
E_hurdle_studentt,Cocoa–Cedi,0.1,3006,0.0798,0.0998,0.0866,0.0573,-0.0293,0.4331,False
E_hurdle_studentt,Gold–Cedi,0.025,3006,0.0133,0.0133,0.0151,0.0,-0.0151,0.6148,False
E_hurdle_studentt,Gold–Cedi,0.05,3006,0.0333,0.0532,0.0376,0.0,-0.0376,0.0818,False
E_hurdle_studentt,Gold–Cedi,0.1,3006,0.0832,0.1098,0.0866,0.0573,-0.0293,0.525,False
E_hurdle_studentt,Brent–Cedi,0.025,3006,0.0399,0.0133,0.0452,0.0,-0.0452,0.1178,False
E_hurdle_studentt,Brent–Cedi,0.05,3006,0.0466,0.0399,0.0527,0.0,-0.0527,0.0259,True
E_hurdle_studentt,Brent–Cedi,0.1,3006,0.0865,0.1031,0.0979,0.0573,-0.0405,0.3353,False
E_hurdle_studentt,WTI–Cedi,0.025,3006,0.0532,0.0133,0.0602,0.0,-0.0602,0.0599,False
E_hurdle_studentt,WTI–Cedi,0.05,3006,0.0399,0.0333,0.0452,0.0,-0.0452,0.0479,True
E_hurdle_studentt,WTI–Cedi,0.1,3006,0.0865,0.1065,0.0941,0.0573,-0.0368,0.3932,False
