pair,family,loglik,AIC,rho,best,nu,theta
Cocoa–Gold,gaussian,8.0047,-14.0094,0.0729,False,,
Cocoa–Gold,t,14.3924,-24.7848,0.0749,True,13.6924,
Cocoa–Gold,clayton,9.9738,-17.9477,,False,,0.0829
Cocoa–Gold,gumbel,7.4295,-12.859,,False,,1.0443
Cocoa–Brent,gaussian,13.5464,-25.0929,0.0948,True,,
Cocoa–Brent,t,14.1764,-24.3527,0.0942,False,47.4898,
Cocoa–Brent,clayton,12.9417,-23.8834,,False,,0.0919
Cocoa–Brent,gumbel,9.1241,-16.2482,,False,,1.0508
Cocoa–WTI,gaussian,11.9397,-21.8794,0.089,False,,
Cocoa–WTI,t,13.8991,-23.7982,0.0885,False,27.3731,
Cocoa–WTI,clayton,13.0386,-24.0773,,True,,0.091
Cocoa–WTI,gumbel,8.3635,-14.7271,,False,,1.0486
Cocoa–Cedi,gaussian,0.1824,1.6352,0.009,True,,
Cocoa–Cedi,t,0.1825,3.635,0.009,False,9671192.2697,
Cocoa–Cedi,clayton,0.0659,1.8681,,False,,0.0041
Cocoa–Cedi,gumbel,-0.0285,2.0569,,False,,1.0003
Gold–Brent,gaussian,9.3257,-16.6514,0.0786,False,,
Gold–Brent,t,21.649,-39.298,0.0768,True,9.8506,
Gold–Brent,clayton,10.9088,-19.8176,,False,,0.0823
Gold–Brent,gumbel,11.7332,-21.4663,,False,,1.0563
Gold–WTI,gaussian,11.2191,-20.4383,0.0862,False,,
Gold–WTI,t,29.1278,-54.2555,0.0813,True,7.9114,
Gold–WTI,clayton,12.2621,-22.5241,,False,,0.0863
Gold–WTI,gumbel,17.529,-33.0579,,False,,1.0681
Gold–Cedi,gaussian,0.1511,1.6978,0.0082,False,,
Gold–Cedi,t,0.2914,3.4172,0.0079,False,186.3122,
Gold–Cedi,clayton,0.1559,1.6882,,True,,0.0059
Gold–Cedi,gumbel,0.0011,1.9978,,False,,1.0004
Brent–WTI,gaussian,2905.3608,-5808.7216,0.9249,False,,
Brent–WTI,t,3416.9091,-6829.8183,0.9449,True,2.05,
Brent–WTI,clayton,2472.9736,-4943.9472,,False,,4.1856
Brent–WTI,gumbel,3174.082,-6346.1639,,False,,4.5432
Brent–Cedi,gaussian,0.0241,1.9518,-0.0033,False,,
Brent–Cedi,t,2.8023,-1.6047,-0.0031,True,40.6261,
Brent–Cedi,clayton,0.3889,1.2222,,False,,0.0094
Brent–Cedi,gumbel,0.0002,1.9996,,False,,1.0003
WTI–Cedi,gaussian,0.0254,1.9492,-0.0034,False,,
WTI–Cedi,t,0.7702,2.4596,-0.0034,False,80.2689,
WTI–Cedi,clayton,0.1711,1.6578,,True,,0.0062
WTI–Cedi,gumbel,-0.0168,2.0335,,False,,1.0003
