pair,family,loglik,AIC,n_params,lambda_L,lambda_U,best,rho,nu,theta
Cocoa–Gold,gaussian,7.959,-13.918,1,0.0,0.0,False,0.073,,
Cocoa–Gold,t,15.0252,-26.0504,2,0.0037,0.0037,True,0.0761,13.0905,
Cocoa–Gold,clayton,10.5274,-19.0548,1,0.0005,0.0,False,,,0.0909
Cocoa–Gold,gumbel,6.5565,-11.1131,1,0.0,0.053,False,,,1.0403
Cocoa–Gold,frank,8.6325,-15.2649,1,0.0,0.0,False,,,0.4643
Cocoa–Gold,joe,3.4023,-4.8045,1,0.0,0.0521,False,,,1.0396
Cocoa–Gold,survival_clayton,4.4821,-6.9641,1,0.0,0.0,False,,,0.0608
Cocoa–Gold,survival_gumbel,11.5472,-21.0945,1,0.0644,0.0,False,,,1.0496
Cocoa–Brent,gaussian,12.4186,-22.8372,1,0.0,0.0,False,0.0911,,
Cocoa–Brent,t,12.803,-21.606,2,0.0,0.0,False,0.0909,58.4042,
Cocoa–Brent,clayton,12.7077,-23.4154,1,0.0011,0.0,False,,,0.1019
Cocoa–Brent,gumbel,6.6546,-11.3092,1,0.0,0.0523,False,,,1.0398
Cocoa–Brent,frank,11.0229,-20.0458,1,0.0,0.0,False,,,0.5178
Cocoa–Brent,joe,3.0073,-4.0147,1,0.0,0.0461,False,,,1.0348
Cocoa–Brent,survival_clayton,6.5305,-11.061,1,0.0,0.0001,False,,,0.0723
Cocoa–Brent,survival_gumbel,15.6001,-29.2001,1,0.0734,0.0,True,,,1.057
Cocoa–WTI,gaussian,10.751,-19.5021,1,0.0,0.0,False,0.0848,,
Cocoa–WTI,t,12.5143,-21.0286,2,0.0,0.0,False,0.085,27.4883,
Cocoa–WTI,clayton,13.2448,-24.4896,1,0.0012,0.0,False,,,0.1036
Cocoa–WTI,gumbel,5.9228,-9.8457,1,0.0,0.0492,False,,,1.0372
Cocoa–WTI,frank,10.1871,-18.3742,1,0.0,0.0,False,,,0.4993
Cocoa–WTI,joe,2.4786,-2.9573,1,0.0,0.041,False,,,1.0308
Cocoa–WTI,survival_clayton,4.9769,-7.9538,1,0.0,0.0,False,,,0.0626
Cocoa–WTI,survival_gumbel,15.1734,-28.3468,1,0.0721,0.0,True,,,1.0559
Cocoa–Cedi,gaussian,0.0387,1.9226,1,0.0,0.0,True,-0.0051,,
Cocoa–Cedi,t,0.7455,2.5089,2,0.0,0.0,False,-0.0094,56008606414.2309,
Cocoa–Cedi,clayton,-0.0186,2.0371,1,0.0,0.0,False,,,0.0025
Cocoa–Cedi,gumbel,-0.0336,2.0672,1,0.0,0.0005,False,,,1.0003
Cocoa–Cedi,frank,0.0012,1.9976,1,0.0,0.0,False,,,0.0053
Cocoa–Cedi,joe,-0.0315,2.0629,1,0.0,0.0005,False,,,1.0003
Cocoa–Cedi,survival_clayton,-0.1216,2.2431,1,0.0,0.0,False,,,0.0025
Cocoa–Cedi,survival_gumbel,-0.0257,2.0513,1,0.0005,0.0,False,,,1.0003
Gold–Brent,gaussian,8.9497,-15.8994,1,0.0,0.0,False,0.0774,,
Gold–Brent,t,21.1038,-38.2076,2,0.0104,0.0104,True,0.0766,10.0513,
Gold–Brent,clayton,10.5728,-19.1456,1,0.0005,0.0,False,,,0.091
Gold–Brent,gumbel,10.1282,-18.2563,1,0.0,0.0609,False,,,1.0467
Gold–Brent,frank,8.1814,-14.3629,1,0.0,0.0,False,,,0.4528
