pair,family,Sn,p_value,not_rejected_5pct,rho,nu,theta
Cocoa–Gold,gaussian,0.0498,0.001,False,0.0782,,
Cocoa–Gold,t,0.0373,0.007,False,0.0782,12.0,
Cocoa–Gold,clayton,0.0587,0.001,False,,,0.1049
Cocoa–Gold,gumbel,0.0473,0.003,False,,,1.0525
Cocoa–Brent,gaussian,0.0367,0.007,False,0.0905,,
Cocoa–Brent,t,0.0358,0.013,False,0.0905,40.0,
Cocoa–Brent,clayton,0.0416,0.005,False,,,0.1224
Cocoa–Brent,gumbel,0.0469,0.001,False,,,1.0612
Cocoa–WTI,gaussian,0.0417,0.003,False,0.0872,,
Cocoa–WTI,t,0.0408,0.005,False,0.0872,40.0,
Cocoa–WTI,clayton,0.04,0.019,False,,,0.1178
Cocoa–WTI,gumbel,0.0533,0.001,False,,,1.0589
Cocoa–Cedi,gaussian,0.0264,0.0409,False,0.01,,
Cocoa–Cedi,t,0.026,0.0469,False,0.01,40.0,
Cocoa–Cedi,clayton,0.0236,0.1806,True,,,0.0128
Cocoa–Cedi,gumbel,0.0278,0.0888,True,,,1.0064
Gold–Brent,gaussian,0.0593,0.001,False,0.0788,,
Gold–Brent,t,0.0521,0.001,False,0.0788,12.0,
Gold–Brent,clayton,0.0718,0.001,False,,,0.1057
Gold–Brent,gumbel,0.0608,0.001,False,,,1.0529
Gold–WTI,gaussian,0.0761,0.001,False,0.0819,,
Gold–WTI,t,0.0559,0.003,False,0.0819,8.0,
Gold–WTI,clayton,0.083,0.001,False,,,0.1102
Gold–WTI,gumbel,0.0683,0.001,False,,,1.0551
Gold–Cedi,gaussian,0.0148,0.5319,True,0.0048,,
Gold–Cedi,t,0.0155,0.4401,True,0.0048,40.0,
Gold–Cedi,clayton,0.015,0.5798,True,,,0.0061
Gold–Cedi,gumbel,0.0146,0.6477,True,,,1.0031
Brent–WTI,gaussian,2.5307,0.001,False,0.9435,,
Brent–WTI,t,0.874,0.001,False,0.9435,3.0,
Brent–WTI,clayton,1.6336,0.001,False,,,7.3011
Brent–WTI,gumbel,2.4883,0.001,False,,,4.6506
Brent–Cedi,gaussian,0.0173,0.3663,True,-0.009,,
Brent–Cedi,t,0.0187,0.2525,True,-0.009,20.0,
Brent–Cedi,clayton,0.0186,0.4182,True,,,0.001
Brent–Cedi,gumbel,0.0184,0.4242,True,,,1.0
WTI–Cedi,gaussian,0.0189,0.2545,True,-0.0107,,
WTI–Cedi,t,0.0206,0.1866,True,-0.0107,40.0,
WTI–Cedi,clayton,0.0213,0.3144,True,,,0.001
WTI–Cedi,gumbel,0.0208,0.3204,True,,,1.0
