pair,family,Sn,p_value,not_rejected_5pct,rho,nu,theta
Cocoa–Gold,gaussian,0.0494,0.001,False,0.0788,,
Cocoa–Gold,t,0.037,0.009,False,0.0788,12.0,
Cocoa–Gold,clayton,0.0561,0.001,False,,,0.1057
Cocoa–Gold,gumbel,0.0474,0.001,False,,,1.0529
Cocoa–Gold,frank,0.0464,0.003,False,,,0.4643
Cocoa–Gold,joe,0.0945,0.001,False,,,1.0396
Cocoa–Gold,survival_clayton,0.0547,0.001,False,,,0.1057
Cocoa–Gold,survival_gumbel,0.0479,0.003,False,,,1.0529
Cocoa–Brent,gaussian,0.0367,0.007,False,0.0896,,
Cocoa–Brent,t,0.0354,0.015,False,0.0896,40.0,
Cocoa–Brent,clayton,0.0408,0.009,False,,,0.1212
Cocoa–Brent,gumbel,0.046,0.001,False,,,1.0606
Cocoa–Brent,frank,0.0395,0.003,False,,,0.5178
Cocoa–Brent,joe,0.1106,0.001,False,,,1.0348
Cocoa–Brent,survival_clayton,0.054,0.003,False,,,0.1212
Cocoa–Brent,survival_gumbel,0.0363,0.019,False,,,1.0606
Cocoa–WTI,gaussian,0.0421,0.005,False,0.0864,,
Cocoa–WTI,t,0.0413,0.005,False,0.0864,40.0,
Cocoa–WTI,clayton,0.0405,0.003,False,,,0.1166
Cocoa–WTI,gumbel,0.0531,0.001,False,,,1.0583
Cocoa–WTI,frank,0.0434,0.005,False,,,0.4993
Cocoa–WTI,joe,0.1258,0.001,False,,,1.0308
Cocoa–WTI,survival_clayton,0.0646,0.001,False,,,0.1166
Cocoa–WTI,survival_gumbel,0.037,0.009,False,,,1.0583
Cocoa–Cedi,gaussian,0.0253,0.0669,True,0.0007,,
Cocoa–Cedi,t,0.0265,0.0549,True,0.0007,40.0,
Cocoa–Cedi,clayton,0.0249,0.2026,True,,,0.001
Cocoa–Cedi,gumbel,0.0255,0.1826,True,,,1.0004
Cocoa–Cedi,frank,0.0252,0.0749,True,,,0.0053
Cocoa–Cedi,joe,0.0254,0.2984,True,,,1.0003
Cocoa–Cedi,survival_clayton,0.0256,0.1826,True,,,0.001
Cocoa–Cedi,survival_gumbel,0.025,0.1946,True,,,1.0004
Gold–Brent,gaussian,0.0587,0.001,False,0.0781,,
Gold–Brent,t,0.0517,0.001,False,0.0781,12.0,
Gold–Brent,clayton,0.0706,0.001,False,,,0.1047
Gold–Brent,gumbel,0.0604,0.001,False,,,1.0524
Gold–Brent,frank,0.0603,0.001,False,,,0.4528
Gold–Brent,joe,0.081,0.001,False,,,1.0523
Gold–Brent,survival_clayton,0.0681,0.001,False,,,0.1047
Gold–Brent,survival_gumbel,0.0677,0.001,False,,,1.0524
Gold–WTI,gaussian,0.0761,0.001,False,0.0812,,
Gold–WTI,t,0.0549,0.001,False,0.0812,8.0,
Gold–WTI,clayton,0.0831,0.001,False,,,0.1092
Gold–WTI,gumbel,0.0682,0.001,False,,,1.0546
Gold–WTI,frank,0.0798,0.001,False,,,0.4767
Gold–WTI,joe,0.0768,0.001,False,,,1.0724
Gold–WTI,survival_clayton,0.0746,0.001,False,,,0.1092
Gold–WTI,survival_gumbel,0.0779,0.001,False,,,1.0546
Gold–Cedi,gaussian,0.0114,0.7894,True,-0.0026,,
Gold–Cedi,t,0.0113,0.8313,True,-0.0026,40.0,
Gold–Cedi,clayton,0.0121,0.8333,True,,,0.001
Gold–Cedi,gumbel,0.0118,0.8713,True,,,1.0
Gold–Cedi,frank,0.0114,0.8293,True,,,-0.0136
Gold–Cedi,joe,0.0123,0.8952,True,,,1.0021
Gold–Cedi,survival_clayton,0.0119,0.8293,True,,,0.001
Gold–Cedi,survival_gumbel,0.0118,0.8313,True,,,1.0
Brent–WTI,gaussian,2.53,0.001,False,0.9436,,
Brent–WTI,t,0.8722,0.001,False,0.9436,3.0,
Brent–WTI,clayton,1.6349,0.001,False,,,7.3063
Brent–WTI,gumbel,2.4776,0.001,False,,,4.6531
Brent–WTI,frank,1.4033,0.001,False,,,17.2661
Brent–WTI,joe,5.1031,0.001,False,,,5.2843
Brent–WTI,survival_clayton,2.2781,0.001,False,,,7.3063
Brent–WTI,survival_gumbel,0.8601,0.001,False,,,4.6531
Brent–Cedi,gaussian,0.0194,0.2166,True,-0.0094,,
Brent–Cedi,t,0.0195,0.2066,True,-0.0094,40.0,
Brent–Cedi,clayton,0.0195,0.4042,True,,,0.001
Brent–Cedi,gumbel,0.0192,0.3583,True,,,1.0
Brent–Cedi,frank,0.0196,0.2026,True,,,-0.0541
Brent–Cedi,joe,0.0193,0.51,True,,,1.0003
Brent–Cedi,survival_clayton,0.0196,0.3962,True,,,0.001
Brent–Cedi,survival_gumbel,0.0192,0.3862,True,,,1.0
WTI–Cedi,gaussian,0.0232,0.0968,True,-0.0105,,
WTI–Cedi,t,0.0237,0.0848,True,-0.0105,40.0,
WTI–Cedi,clayton,0.0242,0.2345,True,,,0.001
WTI–Cedi,gumbel,0.0241,0.2285,True,,,1.0
WTI–Cedi,frank,0.0233,0.0928,True,,,-0.0602
WTI–Cedi,joe,0.0243,0.3343,True,,,1.0003
WTI–Cedi,survival_clayton,0.0245,0.2146,True,,,0.001
WTI–Cedi,survival_gumbel,0.0241,0.2365,True,,,1.0
