pair,family,n_boot_used,escalated,p_value_B2000,p_value_B5000,p_value_final,Sn,not_rejected_5pct,rho,nu,theta
Brent–Cedi,clayton,2000,False,0.461769,,0.461769,0.019178,True,,,0.006184
Brent–Cedi,frank,2000,False,0.267366,,0.267366,0.017893,True,,,-0.043225
Brent–Cedi,gaussian,2000,False,0.293353,,0.293353,0.018954,True,-0.012293,,
Brent–Cedi,gumbel,2000,False,0.506747,,0.506747,0.018679,True,,,1.000830
Brent–Cedi,joe,2000,False,0.522739,,0.522739,0.018943,True,,,1.001841
Brent–Cedi,survival_clayton,2000,False,0.473263,,0.473263,0.019200,True,,,0.002479
Brent–Cedi,survival_gumbel,2000,False,0.524238,,0.524238,0.018285,True,,,1.000335
Brent–Cedi,t,2000,False,0.274363,,0.274363,0.019365,True,-0.010872,25.810839,
Brent–WTI,clayton,2000,False,0.000500,,0.000500,2.471198,False,,,4.635688
Brent–WTI,frank,2000,False,0.000500,,0.000500,1.429305,False,,,17.274611
Brent–WTI,gaussian,2000,False,0.000500,,0.000500,4.363230,False,0.925269,,
Brent–WTI,gumbel,2000,False,0.000500,,0.000500,3.198318,False,,,4.338414
Brent–WTI,joe,2000,False,0.000500,,0.000500,5.126873,False,,,5.280059
Brent–WTI,survival_clayton,2000,False,0.000500,,0.000500,5.365758,False,,,4.476664
Brent–WTI,survival_gumbel,2000,False,0.000500,,0.000500,1.195290,False,,,4.402116
Brent–WTI,t,2000,False,0.000500,,0.000500,0.459555,False,0.943733,2.050000,
Cocoa–Brent,clayton,2000,False,0.003998,,0.003998,0.050123,False,,,0.102806
Cocoa–Brent,frank,2000,False,0.003498,,0.003498,0.041670,False,,,0.523309
Cocoa–Brent,gaussian,2000,False,0.008496,,0.008496,0.041270,False,0.091669,,
Cocoa–Brent,gumbel,2000,False,0.002999,,0.002999,0.063063,False,,,1.040321
Cocoa–Brent,joe,2000,False,0.000500,,0.000500,0.118572,False,,,1.035512
Cocoa–Brent,survival_clayton,2000,False,0.001999,,0.001999,0.073581,False,,,0.072783
Cocoa–Brent,survival_gumbel,2000,False,0.017491,,0.017491,0.042089,False,,,1.057674
Cocoa–Brent,t,2000,False,0.007996,,0.007996,0.041233,False,0.091459,54.772854,
Cocoa–Cedi,clayton,2000,False,0.222889,,0.222889,0.025718,True,,,0.006188
Cocoa–Cedi,frank,5000,True,0.050975,0.053189,0.053189,0.025892,True,,,0.058546
Cocoa–Cedi,gaussian,2000,False,0.085457,,0.085457,0.026471,True,0.006466,,
Cocoa–Cedi,gumbel,2000,False,0.206897,,0.206897,0.027876,True,,,1.000335
Cocoa–Cedi,joe,2000,False,0.235882,,0.235882,0.027835,True,,,1.000335
Cocoa–Cedi,survival_clayton,2000,False,0.208396,,0.208396,0.027629,True,,,0.002479
Cocoa–Cedi,survival_gumbel,2000,False,0.205397,,0.205397,0.027712,True,,,1.000335
Cocoa–Cedi,t,2000,False,0.082459,,0.082459,0.026471,True,0.006459,11617958.115373,
Cocoa–Gold,clayton,2000,False,0.004498,,0.004498,0.060874,False,,,0.090318
Cocoa–Gold,frank,2000,False,0.002499,,0.002499,0.047743,False,,,0.459849
Cocoa–Gold,gaussian,2000,False,0.001499,,0.001499,0.051761,False,0.072355,,
Cocoa–Gold,gumbel,2000,False,0.002999,,0.002999,0.057403,False,,,1.039881
Cocoa–Gold,joe,2000,False,0.001499,,0.001499,0.093567,False,,,1.039121
Cocoa–Gold,survival_clayton,2000,False,0.000500,,0.000500,0.075939,False,,,0.060115
Cocoa–Gold,survival_gumbel,2000,False,0.004998,,0.004998,0.050183,False,,,1.049225
Cocoa–Gold,t,2000,False,0.006497,,0.006497,0.038656,False,0.075343,13.058260,
Cocoa–WTI,clayton,2000,False,0.019490,,0.019490,0.042455,False,,,0.104304
Cocoa–WTI,frank,2000,False,0.002499,,0.002499,0.044410,False,,,0.503042
Cocoa–WTI,gaussian,2000,False,0.003498,,0.003498,0.043806,False,0.085318,,
Cocoa–WTI,gumbel,2000,False,0.001000,,0.001000,0.070245,False,,,1.037496
Cocoa–WTI,joe,2000,False,0.000500,,0.000500,0.129518,False,,,1.030998
Cocoa–WTI,survival_clayton,2000,False,0.001499,,0.001499,0.088189,False,,,0.062947
