series,spec,aic,lb_resid_p,lb_sq_p,ks_pit_p,adequate_5pct,error
cocoa,AR1-GJR-GARCH-t,12628.93688096579,0.7878635281342836,0.9567316283650614,0.1625767004970996,True,
gold,AR1-GJR-GARCH-t,7836.491416825927,0.5942206366290312,0.11939537923244715,0.18586777331605375,True,
brent,AR1-GJR-GARCH-t,12897.660988030588,0.6767372873600586,0.6652959694764603,0.008351779959450951,False,
brent,AR2-GJR-GARCH-t,12892.390701462777,0.5506104895740381,0.6765384082372206,0.023407788037434846,False,
brent,AR1-EGARCH-t,12902.04166019736,0.606526401389085,0.2747738041318674,0.013381662895930908,False,
brent,AR1-GJR-GARCH-skewt,,,,,,"S does not satisfy the bounds requirement of (2.05, 300.0)"
wti,AR1-GJR-GARCH-t,13385.164593796626,0.7362793800124638,0.9703806441094928,0.032017888615158197,False,
wti,AR2-GJR-GARCH-t,13378.236487219116,0.7059638511028239,0.9732659095273192,0.029635698466697113,False,
wti,AR1-EGARCH-t,13388.776933420308,0.558568020419331,0.3483705841475072,0.06758775098941328,True,
cedi,AR1-GJR-GARCH-t,-4996.927888938328,0.8719305028379738,0.9999999785208536,1.105930275582288e-31,False,
cedi,AR2-GJR-GARCH-t,-4953.452793364958,0.2539860236515425,0.999999969398936,1.0950224635664578e-24,False,
cedi,AR1-EGARCH-t,26719.51113972318,0.0,0.9999999983515083,0.0,False,
cedi,AR1-GJR-GARCH-skewt,,,,,,"S does not satisfy the bounds requirement of (2.05, 300.0)"
