pair,lambda_calm,calm_lo,calm_hi,lambda_stress,stress_lo,stress_hi,difference,diff_lo,diff_hi,significant_5pct,diff_lo_bonf,diff_hi_bonf,significant_bonferroni
Cocoa–Gold,0.1432,0.1055,0.1846,0.1908,0.0763,0.3053,0.0477,-0.0935,0.183,False,-0.1442,0.2563,False
Cocoa–Brent,0.162,0.1206,0.1997,0.0763,0.0,0.1527,-0.0857,-0.1771,0.015,False,-0.2025,0.0726,False
Cocoa–WTI,0.1583,0.1093,0.2017,0.1145,0.0,0.229,-0.0437,-0.1656,0.0858,False,-0.1837,0.1193,False
Cocoa–Cedi,0.0904,0.0565,0.1226,0.0763,0.0,0.1527,-0.0141,-0.1112,0.0624,False,-0.1281,0.1183,False
Gold–Brent,0.1733,0.1281,0.2223,0.1527,0.0382,0.3053,-0.0207,-0.1429,0.1358,False,-0.1988,0.2075,False
Gold–WTI,0.1733,0.1243,0.2092,0.2672,0.1145,0.3817,0.0939,-0.0664,0.2159,False,-0.107,0.3004,False
Gold–Cedi,0.0942,0.0565,0.1356,0.0382,0.0,0.1527,-0.056,-0.1226,0.0718,False,-0.1394,0.148,False
Brent–WTI,0.7573,0.7159,0.8026,0.8015,0.6489,0.916,0.0442,-0.1236,0.1679,False,-0.1939,0.2128,False
Brent–Cedi,0.1206,0.0867,0.162,0.0763,0.0,0.1527,-0.0442,-0.1432,0.0321,False,-0.1611,0.0607,False
WTI–Cedi,0.098,0.0716,0.1432,0.0382,0.0,0.1145,-0.0598,-0.1319,0.0301,False,-0.1489,0.0787,False
