pair,lambda_calm,calm_lo,calm_hi,lambda_stress,stress_lo,stress_hi,difference,diff_lo,diff_hi,significant_5pct,diff_lo_bonf,diff_hi_bonf,significant_bonferroni
Cocoa–Gold,0.1134,0.0378,0.2079,0.1449,0.0,0.7246,0.0315,-0.1701,0.5654,False,-0.2079,0.775,False
Cocoa–Brent,0.1701,0.0945,0.2836,0.2899,0.0,0.5797,0.1197,-0.2268,0.3718,False,-0.2789,0.4238,False
Cocoa–WTI,0.189,0.0945,0.2836,0.4348,0.0,0.5797,0.2457,-0.2079,0.4096,False,-0.26,0.512,False
Cocoa–Cedi,0.0945,0.0378,0.199,0.1449,0.0,0.4348,0.0504,-0.1801,0.3124,False,-0.2079,0.3781,False
Gold–Brent,0.0945,0.0378,0.189,0.1449,0.0,0.3659,0.0504,-0.1701,0.252,False,-0.2268,0.3687,False
Gold–WTI,0.1134,0.0378,0.189,0.1449,0.0,0.4348,0.0315,-0.1701,0.3124,False,-0.2033,0.3592,False
Gold–Cedi,0.0945,0.0,0.1701,0.2899,0.0,0.4348,0.1953,-0.1323,0.397,False,-0.2033,0.5279,False
Brent–WTI,0.8129,0.7372,0.9074,0.7246,0.5797,1.0145,-0.0882,-0.3088,0.2394,False,-0.4538,0.3703,False
Brent–Cedi,0.1323,0.0378,0.2079,0.0,0.0,0.0,-0.1323,-0.2079,-0.0378,True,-0.2268,-0.0047,True
WTI–Cedi,0.1134,0.0279,0.2079,0.0,0.0,0.1449,-0.1134,-0.2079,0.0792,False,-0.2268,0.1764,False
