pair,lambda_calm,calm_lo,calm_hi,lambda_stress,stress_lo,stress_hi,difference,diff_lo,diff_hi,significant_5pct,diff_lo_bonf,diff_hi_bonf,significant_bonferroni
Cocoa–Gold,0.1394,0.1017,0.1791,0.0763,0.0,0.1908,-0.0631,-0.1658,0.0474,False,-0.1771,0.1207,False
Cocoa–Brent,0.1394,0.1017,0.1771,0.0382,0.0,0.1527,-0.1012,-0.1658,0.0095,False,-0.1762,0.0552,False
Cocoa–WTI,0.1432,0.098,0.1696,0.0763,0.0,0.1527,-0.0668,-0.1469,0.0343,False,-0.162,0.075,False
Cocoa–Cedi,0.1017,0.0678,0.1356,0.0382,0.0,0.1527,-0.0636,-0.1243,0.0582,False,-0.1356,0.0932,False
Gold–Brent,0.1545,0.1093,0.2035,0.1908,0.0,0.2672,0.0364,-0.1618,0.1182,False,-0.2044,0.1734,False
Gold–WTI,0.1733,0.1319,0.2223,0.1908,0.0382,0.3053,0.0175,-0.1429,0.1358,False,-0.1832,0.1877,False
Gold–Cedi,0.113,0.0791,0.1432,0.1145,0.0,0.1908,0.0015,-0.1281,0.1026,False,-0.1469,0.1721,False
Brent–WTI,0.731,0.6933,0.7913,0.916,0.687,0.9542,0.1851,-0.0628,0.2235,False,-0.1217,0.2735,False
Brent–Cedi,0.1055,0.0716,0.1394,0.1527,0.0,0.2672,0.0472,-0.1032,0.1579,False,-0.1272,0.2168,False
WTI–Cedi,0.1055,0.0716,0.1469,0.1527,0.0382,0.2672,0.0472,-0.0899,0.1767,False,-0.13,0.2346,False
